source_id,objeto,orgao_cnpj,orgao_nome,uf,municipio,data_encerramento,link_oficial,ranking,ranking_score,ranking_confianca,motivo,fatores_positivos
95996187000131-1-000042/2026,"[Portal de Compras Públicas] - Construção de 20 Habitações de Interesse Social (FNHIS Sub 50), programa Minha Casa Minha Vida, conforme projeto, memorial descritivo, termo de referência e planilha orç",95996187000131,MUNICIPIO DE VARGEM BONITA,SC,Vargem Bonita,2026-08-13,https://pncp.gov.br/app/editais/95996187000131/2026/42,GO,100,HIGH,,Status confirmado como aberto; Valor estimado em faixa realista (R$ 10K–R$ 50M); Possui edital e anexos; Fonte oficial com boa reputação; Todos os campos obrigatórios preenchidos
TEST-LIVE-2,pavimentacao,123,Pref,SC,Florianopolis,2026-08-01,https://example,GO,100,HIGH,,"Status confirmado como aberto; Data de abertura no futuro próximo (≤30 dias); Modalidade competitiva (concorrência, pregão); Possui edital e anexos; Fonte oficial com boa reputação; Todos os campos obrigatórios preenchidos"
01599409000139-1-000012/2026,"Contratação de pessoa jurídica especializada para a confecção, personalização e fornecimento, de forma parcelada, de camisetas, camisas e moletons personalizados, destinados ao atendimento das necessi",01599409000139,MUNICIPIO DE CAPAO ALTO,SC,Capão Alto,2026-07-27,https://pncp.gov.br/app/editais/01599409000139/2026/12,GO,100,HIGH,,Status confirmado como aberto; Data de abertura no futuro próximo (≤30 dias); Valor estimado em faixa realista (R$ 10K–R$ 50M); Possui edital e anexos; Fonte oficial com boa reputação; Todos os campos obrigatórios preenchidos
10635424000186-1-000149/2026,"Contratação de empresa especializada na prestação de serviços de Outsourcing de Impressão com franquia de cópias mensais, fornecimento de insumos e papel, sistema de bilhetagem, e atendimento especial",10635424000186,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA CATARINENSE,SC,Blumenau,2026-07-23,https://pncp.gov.br/app/editais/10635424000186/2026/149,GO,100,HIGH,,Status confirmado como aberto; Data de abertura no futuro próximo (≤30 dias); Valor estimado em faixa realista (R$ 10K–R$ 50M); Possui edital e anexos; Fonte oficial com boa reputação; Todos os campos obrigatórios preenchidos
82939455000131-1-000113/2026,"Concessão de espaço para exploração remunerada espaço público, destinada praça de alimentação para comercialização de produtos alimentícios, e bebidas durante o FIMUSI 2026, conforme termo de referênc",82939455000131,MUNICIPIO DE IRANI,SC,Irani,2026-08-07,https://pncp.gov.br/app/editais/82939455000131/2026/113,GO,100,HIGH,,Status confirmado como aberto; Valor estimado em faixa realista (R$ 10K–R$ 50M); Possui edital e anexos; Fonte oficial com boa reputação; Todos os campos obrigatórios preenchidos
83021808000182-1-000393/2026,"Contratação de empresa especializada para prestação de serviços de locação de 
infraestrutura temporária destinada à realização dos Jogos Abertos Paradesportivos de 
Santa Catarina – PARAJASC 2026, co",83021808000182,MUNICIPIO DE CHAPECO,SC,Chapecó,2026-08-03,https://pncp.gov.br/app/editais/83021808000182/2026/393,GO,100,HIGH,,Status confirmado como aberto; Valor estimado em faixa realista (R$ 10K–R$ 50M); Possui edital e anexos; Fonte oficial com boa reputação; Todos os campos obrigatórios preenchidos
