run_id,source,status,started_at,finished_at,records_fetched,stale_reason,error_message
3,pncp,running,2026-07-18 15:04:50.515488+00:00,,0,stuck_running_gt_0h,
2,pncp,running,2026-07-18 15:04:09.626529+00:00,,0,stuck_running_gt_0h,
