orgao_cnpj,orgao_nome,uf,municipio,n_opp,cycle_collection_id,scope
00360305000104,CEFOR,DF,Brasília,1,col-extra-weekly-20260724T214052Z-8da20af7,extra_sc_or_universe_200km
00394452000103,SECRETARIA GERAL DO EXERCITO/MEX/DF,TO,Vila Velha,1,col-extra-weekly-20260724T214052Z-8da20af7,extra_sc_or_universe_200km
00394544000185,SUPERINTENDENCIA ESTADUAL DO MS/TO,TO,Vitória,1,col-extra-weekly-20260724T214052Z-8da20af7,extra_sc_or_universe_200km
07654807000197,CONSORCIO INTERMUNICIPAL DE SAUDE DO ALTO URUGUAI CATARINENSE,SC,,1,col-extra-weekly-20260724T214052Z-8da20af7,extra_sc_or_universe_200km
10432684000154,FUNDO MUNICIPAL DE SAUDE,SC,,1,col-extra-weekly-20260724T214052Z-8da20af7,extra_sc_or_universe_200km
11360515000119,FUNDO MUNICIPAL DE SAUDE DE SANTA TEREZINHA DO PROGRESSO,SC,,1,col-extra-weekly-20260724T214052Z-8da20af7,extra_sc_or_universe_200km
83102541000158,MUNICIPIO DE PORTO UNIAO,SC,,1,col-extra-weekly-20260724T214052Z-8da20af7,extra_sc_or_universe_200km
