entity_id,name,last_seen_at,hours_since,within_sla,status
70,GUARDA MUNICIPAL DE ITAPEMA,,,False,never
71,MUNICIPIO DE ITAPEMA,2026-07-17T09:48:37+00:00,35.146,False,stale
72,ITAPEMA CAMARA MUNICIPAL,2026-07-17T13:32:15+00:00,31.418,False,stale
73,FUNDACAO AMBIENTAL AREA COSTEIRA DE ITAPEMA,,,False,never
74,ITATRAN - FUNDACAO MUNICIPAL DE TRANSITO,,,False,never
75,FUNDACAO MUNICIPAL DE CULTURA DE ITAPEMA,,,False,never
76,FUNDACAO MUNICIPAL DE ESPORTES,,,False,never
77,"AGENCIA MUNICIPAL DE REGULACAO, CONTROLE E FISCALIZACAO DO MUNICIPIO DE ITAPEMA",,,False,never
78,SECRETARIA MUNICIPAL DE EDUCACAO DE ITAPEMA,,,False,never
79,FUNDACAO MUNICIPAL DE TURISMO - FUMTUR,,,False,never
80,FUNDACAO ECOLOGICA E ZOOBOTANICA DE BRUSQUE,2026-07-02T00:00:00+00:00,404.956,False,stale
81,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,2026-07-16T15:31:46+00:00,53.426,False,stale
82,MUNICIPIO DE BRUSQUE,2026-07-17T00:05:10+00:00,44.87,False,stale
83,FUNDACAO EDUCACIONAL DE BRUSQUE - FEBE,,,False,never
84,CAMARA MUNICIPAL DE BRUSQUE,2026-07-16T13:26:55+00:00,55.507,False,stale
85,COMISSAO CENTRAL ORGANIZADORA 40 JASC,,,False,never
86,FUNDACAO CULTURAL DE BRUSQUE,,,False,never
87,PREVIBRUSQUE,,,False,never
88,FUNDACAO MUNICIPAL DO MEIO AMBIENTE,,,False,never
89,BRUSQUE TRANSITO E TRANSPORTES - B-TRANS,,,False,never
90,INSTITUTO BRUSQUENSE DE PLANEJAMENTO - IBPLAN,,,False,never
91,FUNDACAO MUNICIPAL DE ESPORTES DE BRUSQUE,,,False,never
92,INSTITUTO BRUSQUENSE DE PREVIDENCIA - IBPREV,,,False,never
93,SECRETARIA DE EDUCACAO,,,False,never
94,COMPANHIA DE DESENVOLVIMENTO E URBANIZACAO DE BRUSQUE,,,False,never
95,CAMARA MUNICIPAL DE VEREADORES DE GUABIRUBA,,,False,never
96,MUNICIPIO DE GUABIRUBA,2026-07-17T14:48:46+00:00,30.143,False,stale
97,SECRETARIA MUNICIPAL DA EDUCACAO,,,False,never
98,FUNDACAO CULTURAL DE GUABIRUBA,,,False,never
99,IMBITUBA CAMARA MUNICIPAL,2026-07-17T18:28:31+00:00,26.481,False,stale
100,MUNICIPIO DE IMBITUBA,2026-07-16T22:24:58+00:00,46.54,False,stale
101,FUNDACAO MUNICIPAL DE ESPORTES - FME,,,False,never
102,FUNDACAO CULTURAL DE IMBITUBA - FUNCI,,,False,never
103,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO (SAMAE) DE IMBITUBA,,,False,never
104,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA E ESPORTE DE IMBITUBA SC",,,False,never
105,"SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA E DESPORTO DE LEOBERTO LEAL SC",,,False,never
106,MUNICIPIO DE LEOBERTO LEAL,,,False,never
107,INST. DE PREV. SOCIAL DOS SERV. PUBLICOS DO MUNICIPIO DE LEOBERTO LEAL - IPRELL,,,False,never
108,CAMARA MUNICIPAL DE LEOBERTO LEAL,,,False,never
109,SECRETARIA MUNICIPAL DE EDUCACAO E DESPORTO DO MUNICIPIO DE SANTA ROSA DE LIMA,,,False,never
110,MUNICIPIO DE SANTA ROSA DE LIMA,2026-07-13T08:04:14+00:00,132.885,False,stale
111,CAMARA MUNICIPAL DE SANTA ROSA DE LIMA,2026-07-17T12:15:58+00:00,32.69,False,stale
112,FUNDO MUNICIPAL DE HABITACAO  DO MUNICIPIO DE SANTA ROSA DE LIMA,,,False,never
113,SECRETARIA MUNICIPAL DE EDUCACAO E DESPORTO,,,False,never
114,SECRETARIA MUNICIPAL DA EDUCACAO E DESPORTO,,,False,never
115,MUNICIPIO DE ALFREDO WAGNER,,,False,never
116,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVID. PUBLIC DO MUNICIP DE ALFR WAGNER - IPREALWAG,,,False,never
117,CAMARA DE VEREADORES DO MUNICIPIO DE ALFREDO WAGNER,,,False,never
118,COORDENADORIA MUNICIPAL DE DEFESA CIVIL DO MUNICIPIO DE ALFREDO WAGNER,,,False,never
119,MUNICIPIO DE NAVEGANTES,2026-07-17T16:20:18+00:00,28.618,False,stale
120,NAVEGANTES CAMARA DE VEREADORES,2026-07-16T14:08:35+00:00,54.813,False,stale
121,FUNDACAO HOSPITALAR MUNICIPAL DE NAVEGANTES,,,False,never
122,FUNDACAO MUNICIPAL DE ESPORTE,,,False,never
123,FUNDACAO CULTURAL DE NAVEGANTES,,,False,never
124,INSTITUTO AMBIENTAL DE NAVEGANTES - IAN,,,False,never
125,SECRETARIA MUNICIPAL DE EDUCACAO DE NAVEGANTES,,,False,never
126,FUNDACAO MUNICIPAL DE VIGILANCIA DE NAVEGANTES,,,False,never
