ranking,commercial_stage,cnpj,razao_social,uf,contrato_id,objeto,valor_original,regime_legal,regime_proven,regime_evidence_level,proxy_date,minimum_elapsed_confirmed,claim_readiness,priority_score
31,DOCUMENT_REQUEST_READY,03094645000129,INFRASUL – INFRAESTRUTURA EMPREENDIMENTOS LTDA,SC,12075748000132-2-000064/2024,"Contratação de empresa especializada para execução por demanda de serviços comuns de engenharia para manutenção, conservação, reparação, melhorias e intervenções corretivas e preventivas nas rodovias,",17330750.4,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-24,True,claim_blocked,70.91
32,DOCUMENT_REQUEST_READY,06145928000140,CONSTRUÇÃO CIVIL MG LTDA,SC,79373767000116-2-000113/2024,"CONTRATAÇÃO DE E EMPRESA ESPECIALIZADA DE ENGENHARIA PARA A EXECUÇÃO DA PAVIMENTAÇÃO ASFÁLTICA CBUQ, DRENAGEM PLUVIAL E SINALIZAÇÃO VIÁRIA DA ESTRADA GERAL MARGEM ESQUERDA - TRECHO II NO MUNICÍPIO DE ",1481197.61,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-03-06,True,claim_blocked,70.89
33,DOCUMENT_REQUEST_READY,12218083000179,BCL EMPREENDIMENTOS LTDA,SC,12075748000132-2-000067/2024,"Contratação de empresa especializada para execução por demanda de serviços comuns de engenharia para manutenção, conservação, reparação, melhorias e intervenções corretivas e preventivas nas rodovias,",17082544.58,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-24,True,claim_blocked,70.88
34,DOCUMENT_REQUEST_READY,10249046000100,CONSTRUCOES SCHOROEDER EIRELI    -,SC,04892707000100-2-000031/2024,"TERMO DE CONTRATO, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO, QUE FAZEM ENTRE SI O DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES E CONSÓRCIO SCHOROEDER/SULCATARINENSE EDL - BR-470/SC, PAR",78059502.9,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-02-02,True,claim_blocked,70.88
35,DOCUMENT_REQUEST_READY,00820854000114,QUALIDADE MINERACAO LTDA,SC,82951344000140-2-000006/2024,"EXECUÇÃO DE OBRA  EMERGENCIALPARA REMOÇÃO  DE  BARREIRAS, CONTENÇÃOE RECUPERAÇÃO DE SEGMENTOS NAS RODOVIAS  SC-110,  SC-114,  SC-340,  SC-350,  SC-477 e SC-486,  SOB  JURISDIÇÃO DA COORDENADORIA REGIO",66617262.65,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-02-28,True,claim_blocked,70.88
36,DOCUMENT_REQUEST_READY,00820854000114,QUALIDADE MINERACAO LTDA,SC,82951344000140-2-000031/2024,"EXECUÇÃO DO REMANESCENTE DO CONTRATO CT-014/2021, COM PROJETO REVISIONADO (CT-047/2021), PARA PRESTAÇÃO DE SERVIÇOS ESPECIALIZADOS DE ENGENHARIA PARA IMPLANTAÇÃO E PAVIMENTAÇÃO DA RODOVIA SC - 451 – T",61421000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-02-27,True,claim_blocked,70.88
37,DOCUMENT_REQUEST_READY,79841904000108,BIO G SISTEMAS DE SANEAMENTO LTDA,SC,05472936000139-2-000021/2025,"Contratação de empresa especializada para, fornecimento, instalação, comissionamento, operação assistida e execução de obras complementares de uma estação de tratamento de água modular e pré-fabricada",38496000.0,UNKNOWN,False,R-D,2025-05-26,True,claim_blocked,70.88
38,DOCUMENT_REQUEST_READY,05895635000118,JR CONSTRUCOES E TERRAPLENAGEM LTDA EPP,SC,95780441000160-2-000055/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA A TOTAL EXECUÇÃO, INCLUINDO MATERIAL E MÃO-DE-OBRA, DE PAVIMENTAÇÃO ASFÁLTICA (REPERFILAGEM) E SINALIZAÇÃO VIÁRIA DAS RUAS M",1240000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-03-15,True,claim_blocked,70.81
39,DOCUMENT_REQUEST_READY,00820854000114,QUALIDADE MINERACAO LTDA,SC,82892365000132-2-000492/2025,"Contratação de empresa especializada, no regime de empreitada por preço unitário (material + mão-de-obra), para execução de obra de PAVIMENTAÇÃO ASFÁLTICA (CBUQ), DRENAGEM E SINALIZAÇÃO VIÁRIA DA RUA ",1108850.0,UNKNOWN,False,R-D,2025-06-02,True,claim_blocked,70.76
40,DOCUMENT_REQUEST_READY,83665141000150,SETEP CONSTRUCOES S.A,SC,82928672000126-2-000406/2024,"Contratação de empresa especializada, para execução de obra de pavimentação Asfáltica, Drenagem Pluvial e Sinalização Viária da Rodovia Municipal Inácio Nandi, com utilização de recursos do Estado de ",1041847.97,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-03,True,claim_blocked,70.74
41,DOCUMENT_REQUEST_READY,07455659000181,LZK CONSTRUTORA LTDA,SC,85997237000141-2-001376/2024,"Contratação de empresa especializada para a execução dos serviços e o fornecimento dos materiais e equipamentos necessários para terraplenagem, pavimentação asfáltica com C.B.U.Q, drenagem pluvial, si",4020578.86,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-12-19,True,claim_blocked,70.74
42,DOCUMENT_REQUEST_READY,07455659000181,LZK CONSTRUTORA LTDA,SC,82951344000140-2-000020/2024,"EXECUÇÃO DE OBRA EMERGENCIAL PARA REMOÇÃO DE BARREIRAS, CONTENÇÃO E RECUPERAÇÃO DE SEGMENTOS NAS RODOVIAS SC-350, SC-427, SC-281 ESC-112, SOB JURISDIÇÃO DA  COORDENADORIA  REGIONAL  VALE",15271199.37,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-17,True,claim_blocked,70.71
43,DOCUMENT_REQUEST_READY,33860380000193,JAB ENGENHARIA EIRELI,SC,83102756000179-2-000835/2024,"EXECUÇÃO DE OBRAS, PELO SISTEMA DE EMPREITADA GLOBAL, DE PAVIMENTO RÍGIDO (CONCRETO) EM 12 (DOZE) RUAS DO BAIRRO QUITANDINHA, PERFAZENDO UMA ÁREA TOTAL DE 11.738,20M², COMPREENDENDO: MOBILIZAÇÃO E DES",3799000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-07-30,True,claim_blocked,70.7
44,DOCUMENT_REQUEST_READY,04406660000128,TERRAMAX - CONSTRUCOES E OBRAS LTDA,SC,83024240000153-2-000314/2024,"A contratação de uma empresa especializada para a execução de um amplo conjunto de obras, que inclui terraplenagem, drenagem pluvial, pavimentação asfáltica e obras complementares, no trecho da estrad",3809223.46,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-23,True,claim_blocked,70.7
45,DOCUMENT_REQUEST_READY,00820854000114,QUALIDADE MINERACAO LTDA,SC,82928656000133-2-000411/2024,"Contratação de pessoa jurídica para execução de obra de pavimentação asfáltica, drenagem pluvial e sinalização viária do prolongamento da Avenida Pedro Zapeline, no trecho entre as Ruas Cândido César ",3382999.98,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-08-14,True,claim_blocked,70.62
46,DOCUMENT_REQUEST_READY,07455659000181,LZK CONSTRUTORA LTDA,SC,82951344000140-2-000021/2023,"EXECUÇÃO DE CONTENÇÃO NA RODOVIA SC 427 TRECHO:  ENTR.  SC  114  /  ENTR.  SC  350M  KM 16+950,  MUNICÍPIO  DE  TAIÓ/SC,  DANIFICADA  PELAS  CHUVAS  DOS  MESES  DE OUTUBRO E NOVEMBRO DE 2023",22259743.26,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2023-11-18,True,claim_blocked,70.58
47,DOCUMENT_REQUEST_READY,01513315000103,PLM CONSTRUCOES E COMERCIO LTDA,SC,82577636000165-2-000100/2024,"Contratação de Empresa Especializada para: Lote 01 - Pavimentação Asfáltica, Drenagem, Passeios e Sinalização Viária da Rua Rudy Bayer, bairro: Centro, Município de Tijucas - SC. Lote 2 - Pavimentação",20627581.11,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-05-14,True,claim_blocked,70.45
48,DOCUMENT_REQUEST_READY,80996861000100,PROSUL PROJETOS SUPERVISAO E PLANEJAMENTO LTDA,SC,04892707000100-2-000342/2024,"TERMO DE CONTRATO DE PRESTAÇÃO DE SERVIÇO DE ENGENHARIA QUE FAZEM ENTRE SI O DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES - DNIT E A EMPRESA PROSUL - PROJETOS, SUPERVISÃO E PLANEJAMENTO LTDA",12225959.61,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-08-21,True,claim_blocked,70.39
49,DOCUMENT_REQUEST_READY,03620927000112,PAVIPLAN PAVIMENTACAO LTDA,SC,83102756000179-2-000866/2024,"EXECUÇÃO DE OBRAS, PELO SISTEMA DE EMPREITADA GLOBAL, DE PAVIMENTAÇÃO ASFÁLTICA EM 05 (CINCO) RUAS DO SÃO RAFAEL, PERFAZENDO UMA ÁREA TOTAL DE INTERVENÇÃO DE 9.309,79M², COMPREENDENDO: MOBILIZAÇÃO E D",2263173.31,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-08-13,True,claim_blocked,70.36
50,DOCUMENT_REQUEST_READY,04406660000128,TERRAMAXX - CONSTRUCOES  LTDA,SC,83009860000113-2-000555/2024,"Contratação de empresa(s) de engenharia para Execução de Obras de Infraestrutura da 1° Etapa de Implantação do Loteamento Industrial Nascer do Sol, com área total de 211.640,64m² na Linha São Sebastiã",6180000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-09-16,True,claim_blocked,70.36
51,DOCUMENT_REQUEST_READY,00336234000104,A J POTTER & CIA LTDA,SC,83102293000145-2-001678/2024,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE MÃO DE OBRA COM FORNECIMENTO DE EQUIPAMENTO E MATERIAL PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL, TERRAPLANAGEM, SINALIZAÇÃO VERTICA",6100000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-07-19,True,claim_blocked,70.35
52,DOCUMENT_REQUEST_READY,03574370000120,Empreiteira de Mão de Obra Adrimar Ltda,SC,83169623000110-2-000520/2025,"Contratação de empresa especializada para a execução de Pavimentação Asfáltica da Estrada Timbé - etapa 2B (trecho entre final do asfalto existente até a ponte - Ponto Inicial 26°12'36.3""S 48°48'13.0""",2200000.0,UNKNOWN,False,R-D,2025-04-01,True,claim_blocked,70.34
53,DOCUMENT_REQUEST_READY,03257777000124,GAIA RODOVIAS LTDA.,SC,04892707000100-2-000576/2024,"CONTRATO ADMINISTRATIVO QUE FAZEM ENTRE SI A UNIÃO, POR INTERMÉDIO DO DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES, E A GAIA RODOVIAS LTDA., PARA EXECUÇÃO DOS SERVIÇOS DE CORREÇÃO DE PONTO C",28572115.68,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-12-02,True,claim_blocked,70.32
54,DOCUMENT_REQUEST_READY,05895635000118,JR CONSTRUÇÕES E TERRAPLENAGEM LTDA EPP,SC,82916800000111-2-000330/2025,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DE OBRAS DE PAVIMENTAÇÃO ASFÁLTICA NA MARGINAL DA BR-101, ABRANGENDO O TRECHO COMPREENDIDO ENTRE O KM 382+530 E O KM 383+350.",2008179.27,UNKNOWN,False,R-D,2025-03-11,True,claim_blocked,70.29
55,DOCUMENT_REQUEST_READY,21157133000146,BRITAX BRITAGEM E CONSTRUÇÕES LTDA,SC,83024257000100-2-000077/2024,"contratação de empresa para execução de serviço comum de engenharia, no regime de empreitada por preços máximos unitários, de pavimentação asfáltica rural, neste Município, de acordo com o Memorial De",11258057.06,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-03-26,True,claim_blocked,70.28
56,DOCUMENT_REQUEST_READY,34448864000192,CONSTRUTORA D. BRANGER LTDA,SC,82777301000190-2-001083/2024,"Contratação de empresa de engenharia para execução dos serviços de terraplanagem, drenagem e obras correntes, pavimentação em asfalto, urbanísticos e sinalização para a revitalização da Rua Jairo Luiz",1869200.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-06-19,True,claim_blocked,70.25
57,DOCUMENT_REQUEST_READY,00820854000114,QUALIDADE MINERACAO LTDA,SC,82575812000120-2-000697/2024,"CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRAS DE INFRAESTRUTURA VIÁRIA NA RUA BENTO JOÃO SILVINO - TRECHO 2 - NORTE, BAIRRO SERTÃO DE SANTA LUZIA, EM CONFORMIDADE COM O PROJETO DE ENGENHARIA E ANEXOS",1707816.48,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-06-18,True,claim_blocked,70.21
58,DOCUMENT_REQUEST_READY,03620927000112,PAVIPLAN PAVIMENTACAO LTDA,SC,83102756000179-2-000639/2024,"EXECUÇÃO DE OBRAS, PELO SISTEMA DE EMPREITADA GLOBAL, DE PAVIMENTAÇÃO ASFÁLTICA EM 05 (CINCO) RUAS DO BAIRRO CRUZEIRO, PERFAZENDO UMA ÁREA TOTAL DE 5.755,05M², COMPREENDENDO OS SERVIÇOS DE TERRAPLENAG",1682313.12,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-06-13,True,claim_blocked,70.2
59,DOCUMENT_REQUEST_READY,09223659000181,VIGA – PAVIMENTAÇÃO E OBRAS LTDA,SC,12075748000132-2-000065/2024,"Contratação de empresa especializada para execução por demanda de serviços comuns de engenharia para manutenção, conservação, reparação, melhorias e intervenções corretivas e preventivas nas rodovias,",10425999.96,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-24,True,claim_blocked,70.19
60,DOCUMENT_REQUEST_READY,00820854000114,QUALIDADE MINERACAO LTDA,SC,82928656000133-2-000001/2025,"CONTRATAÇÃO DE PESSOA JURÍDICA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL E SINALIZAÇÃO VIÁRIA DA RUA ADOLFO JOSÉ DE SOUZA, LOCALIZADA NO BAIRRO SÃO CRISTÓVÃO, NO MUNICÍPIO DE T",1666351.03,UNKNOWN,False,R-D,2025-01-22,True,claim_blocked,70.19
61,DOCUMENT_REQUEST_READY,05895635000118,JR CONSTRUCOES E TERRAPLENAGEM LTDA EPP,SC,82963216000117-2-000040/2024,"O objeto da presente licitação é execução de pavimentações em pavimentação asfáltica de Ruas e Rodovias Municipais, no município de Sombrio/SC, conforme condições, quantidades e exigências estabelecid",5113199.52,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-06-28,True,claim_blocked,70.19
62,DOCUMENT_REQUEST_READY,27303137000171,VIAPAVI OBRAS E SERVIÇOS LTDA - ME,SC,82939406000107-2-001094/2025,"Contratação de empresa especializada na aplicação de asfalto CAUQ (Concreto Asfáltico Usinado a Quente) para execução de PAVIMENTAÇÃO EM C.A.U.Q. LINHA RESIDENCIA e DRENAGEM JUNTO A RUA JOSÉ CADORIN, ",1628883.01,UNKNOWN,False,R-D,2025-07-15,True,claim_blocked,70.18
63,DOCUMENT_REQUEST_READY,12022153000119,EMBRAPAV - EMPRESA BRASILEIRA DE PAVIMENTACAO LTDA,SC,82945718000115-2-000239/2025,"CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA EXECUÇÃO DE OBRA DE RESTAURAÇÃO DE PAVIMENTAÇÃO ASFÁLTICA, SINALIZAÇÃO VIÁRIA E DRENAGEM PLUVIAL EM TRECHO DA RUA DO COMÉRCIO.",1550000.0,UNKNOWN,False,R-D,2025-04-04,True,claim_blocked,70.16
64,DOCUMENT_REQUEST_READY,12535370000102,TERRABASE TERRAPLANAGEM LTDA.,SC,82765488000102-2-000138/2025,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA (EMPREITADA GLOBAL) PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL, PASSEIOS EM PAVER E SINALIZAÇÃO VIÁRIA PARA A ELEVAÇÃO DO TREVO DA RUA FRANZ XAVIER ",1499398.62,UNKNOWN,False,R-D,2025-03-27,True,claim_blocked,70.14
65,DOCUMENT_REQUEST_READY,03574370000120,EMPREITEIRA DE MÃO DE OBRA ADRIMAR LTDA,SC,83102335000148-2-000712/2025,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DOS SERVIÇOS DE OBRAS DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL E SINALIZAÇÃO VIÁRIA DAS RUAS MANOEL CELESTINO, MANOEL FERREIRA E MANOEL JOÃO SE",4789358.18,UNKNOWN,False,R-D,2025-07-18,True,claim_blocked,70.14
66,DOCUMENT_REQUEST_READY,00820854000114,QUALIDADE CONSTRUÇÕES E PAVIMENTAÇÕES LTDA,SC,82951344000140-2-000040/2025,EXECUÇÃO DOS SERVIÇOS DE MANUTENÇÃO (CONSERVAÇÃO/RECUPERAÇÃO) DE RODOVIAS PAVIMENTADAS E ESTRADAS NÃO PAVIMENTADAS SOB A JURISDIÇÃO DA COORDENADORIA REGIONAL SUL - CRSUL LOTE 01,79448116.22,UNKNOWN,False,R-D,2025-02-11,True,claim_blocked,70.13
67,DOCUMENT_REQUEST_READY,00820854000114,QUALIDADE CONSTRUÇÕES E PAVIMENTAÇÕES LTDA,SC,82951344000140-2-000107/2025,EXECUÇÃO DOS SERVIÇOS DE MANUTENÇÃO (CONSERVAÇÃO/RECUPERAÇÃO) DE RODOVIAS PAVIMENTADAS E ESTRADAS NÃO PAVIMENTADAS SOB A JURISDIÇÃO DA COORDENADORIA REGIONAL SUL - CRSUL LOTE 01,79448116.22,UNKNOWN,False,R-D,2025-02-11,True,claim_blocked,70.13
68,DOCUMENT_REQUEST_READY,03257777000124,GAIA RODOVIAS LTDA.,SC,82951344000140-2-000038/2024,EXECUÇÃO DOS SERVIÇOS DE MANUTENÇÃO (CONSERVAÇÃO/RECUPERAÇÃO) DE RODOVIAS PAVIMENTADAS E ESTRADAS NÃO PAVIMENTADAS SOB A JURISDIÇÃO DA COORDENADORIA REGIONAL EXTREMO OESTE – SIE/CREXT - LOTE 01.,71525912.91,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-08,True,claim_blocked,70.13
69,DOCUMENT_REQUEST_READY,82743832000162,PLANATERRA-TERRAPLENAGEM E PAVIMENTACAO LTDA,SC,04892707000100-2-000091/2025,"TERMO DE CONTRATO SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO, QUE FAZEM ENTRE SI O DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES E O CONSÓRCIO PLANATERRA - GEOLOGUS, PARA EXECUÇÃO DOS SERV",62297256.34,UNKNOWN,False,R-D,2025-02-25,True,claim_blocked,70.13
70,DOCUMENT_REQUEST_READY,04484014000189,CEGE ENGENHARIA LTDA,SC,82951344000140-2-000036/2024,Execução dos serviços de Manutenção (Conservação/Recuperação) de Rodovias Pavimentadas e Estradas  Não  Pavimentadas  sob  a  jurisdição  da  Coordenadoria  Regional  Extremo  Oeste –SIE –CREXT (Lote ,60605734.8,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-15,True,claim_blocked,70.13
71,DOCUMENT_REQUEST_READY,03453030000141,FREEDOM ENGENHARIA E CONSTRUCAO LTDA,SC,83102343000194-2-000879/2024,"EXECUÇÃO DAS OBRAS DE AMPLIAÇÃO DO CANAL EXTRAVASOR DA BEIRA RIO, SENTIDO RIO BRANCO (LOTE 01), CONFORME JUSTIFICATIVA TÉCNICA CONSTANTE NO ESTUDO TÉCNICO PRELIMINAR, TERMO DE REFERÊNCIA E DEMAIS DOCU",59894361.88,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-03-26,True,claim_blocked,70.13
72,DOCUMENT_REQUEST_READY,05133291000100,STRABE COMERCIO E CONSTRUCOES LTDA,SC,83102756000179-2-001109/2024,"EXECUÇÃO DE OBRAS, PELO SISTEMA DE EMPREITADA GLOBAL, DE PAVIMENTAÇÃO ASFÁLTICA (FLEXÍVEL) EM 1 (UMA) RUA E PAVIMENTAÇÃO DE CONCRETO (RÍGIDA) EM 1 (UMA) RUA, TODAS NO BAIRRO VISTA ALEGRE, PERFAZENDO U",1429154.08,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-10-09,True,claim_blocked,70.12
73,DOCUMENT_REQUEST_READY,82743832000162,PLANATERRA-TERRAPLENAGEM E PAVIMENTACAO LTDA,SC,85361863000147-2-000194/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL E SINALIZAÇÃO, NA LINHA DA GRUTA – TRECHOS I AO IV (ETAPA II) E ESTRADA DE ACESSO A  LINHA CHAPADÃO – TRE",4706000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-12-12,True,claim_blocked,70.12
74,DOCUMENT_REQUEST_READY,03094645000129,INFRASUL - INFRAESTRUTURA E EMPREENDIMENTOS LTDA,SC,83102475000116-2-000079/2023,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA COM FORNECIMENTO DE MATERIAL E MÃO DE OBRA PARA PROJETO DE PAVIMENTAÇÃO ASFÁLTICA DA RUA 41 - GUSTAVO RUBIN, RUA 292 - JOSÉ ETORE TOMELI",1379717.55,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2023-12-01,True,claim_blocked,70.1
75,DOCUMENT_REQUEST_READY,02955426000124,NEOVIA INFRAESTRUTURA RODOVIARIA LTDA,SC,82951344000140-2-000005/2023,MANUTENÇÃO (CONSERVAÇÃO/RECUPERAÇÃO) DE RODOVIAS PAVIMENTADAS E ESTRADAS NÃO PAVIMENTADAS SOB A JURISDIÇÃO DA COORDENADORIA REGIONAL OESTE – SIE/CROES - LOTE 02,36502453.77,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-01-03,True,claim_blocked,70.1
