ranking,commercial_stage,cnpj,razao_social,uf,contrato_id,objeto,valor_original,regime_legal,regime_proven,regime_evidence_level,proxy_date,minimum_elapsed_confirmed,claim_readiness,priority_score
89,DOCUMENT_REQUEST_READY,74111709000109,ENGETOM CONSTRUCAO CIVIL LTDA,SC,82911249000113-2-000046/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DAS OBRAS DE ENGENHARIA CONSISTENTES EM PAVIMENTAÇÃO ASFALTICA (CBUQ), NA ROD ARA 231 (FRANCISCO ZEFERINO), COM ÁREA DE 4.065,55M² E EXTENSÃO DE 976,",1047900.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-05-23,True,claim_blocked,69.99
90,DOCUMENT_REQUEST_READY,01650178000140,CR ARTEFATOS DE CIMENTO LTDA,SC,86051398000100-2-000160/2023,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAL, MÃO DE OBRA E DEMAIS OBRIGAÇÕES NECESSÁRIAS PARA EXECUÇÃO DE SERVIÇOS DE DRENAGEM PLUVIAL SINALIZAÇÃO VIÁRIA E PAVIMENTAÇÃO ASFÁLTIC",3977000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2023-12-21,True,claim_blocked,69.99
91,DOCUMENT_REQUEST_READY,03574370000120,EMPREITEIRA DE MÃO DE OBRA ADRIMAR EIRELI,SC,95954509000180-2-000797/2024,"Referente a contratação de empresa especializada em serviços de obras e engenharia para revitalização de vias urbanas, pavimentação em asfalto, drenagem, ciclovias e calçadas - Reurbanização do Centro",8650450.1,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-07-16,True,claim_blocked,69.96
92,DOCUMENT_REQUEST_READY,21157133000146,BRITAX BRITAGEM E CONSTRUCOES LTDA,SC,82815085000120-2-000361/2024,"A presente licitação tem por objeto a contratação de serviço comum para execução de pavimentação asfáltica no regime de empreitada por preço unitário, com fornecimento de material e mão de obra, tudo ",3649247.47,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-11,True,claim_blocked,69.92
93,DOCUMENT_REQUEST_READY,27743102000153,FJ CONSTRUTORA,SC,83102434000120-2-000082/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAÇÃO DE OBRA DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL E SINALIZAÇÃO VIÁRIA, COM A EXTENSÃO DE 7.100 (SETE MIL E CEM METROS) E ÁREA DE 66.340,00 M² (S",14749000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-01-22,True,claim_blocked,69.91
94,DOCUMENT_REQUEST_READY,84689066000392,BRITAGEM VOGELSANGER LTDA,SC,82892316000108-2-000516/2024,"Contratação de Empresa Especializada para Execução de Pavimentação Asfáltica, Sinalização viária e Substituição de rede de água da Rua José Cosme Pamplona, localizada no Bairro Bela Vista, Palhoça/SC,",3557500.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-09-27,True,claim_blocked,69.9
95,DOCUMENT_REQUEST_READY,89723977000140,"TONIOLO, BUSNELLO S/A - TUNEIS, TERRAPLENAGENS E PAVIMENTACO",RS,92883834000100-2-000059/2025,Contratação de empresa do ramo de engenharia para a execução dos serviços de elaboração de projetos básico e executivo de engenharia e execução de obras emergenciais de requalificação e reabilitação f,56407589.02,UNKNOWN,False,R-D,2025-01-20,True,claim_blocked,69.88
96,DOCUMENT_REQUEST_READY,87654547000199,COESUL-CONSTRUTORA EXTREMO SUL LTDA,RS,92883834000100-2-000003/2025,"Contratação de empresa do ramo de engenharia para elaboração de projetos básico e executivo de engenharia e execução de obras emergenciais de requalificação e reabilitação funcional do pavimento, da d",55684265.26,UNKNOWN,False,R-D,2025-01-20,True,claim_blocked,69.88
97,DOCUMENT_REQUEST_READY,05390905000139,DALFOVO CONSTRUTORA LTDA,RS,92883834000100-2-000053/2025,"Contratação de empresa do ramo de engenharia para elaboração de projetos básico e executivo de engenharia e execução de obras emergenciais de requalificação e reabilitação funcional do pavimento, dren",55199617.98,UNKNOWN,False,R-D,2025-01-21,True,claim_blocked,69.88
98,DOCUMENT_REQUEST_READY,04406660000128,TERRAMAX - CONSTRUCOES E OBRAS LTDA,SC,83024240000153-2-000484/2024,"Contratação de empresa especializada para a execução de drenagem pluvial, pavimentação asfáltica, sinalização e meio-fio da estrada ITA-031, trecho entre o km 0+000 a 2+000, com extensão de 2.000,00 m",3350261.49,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-06-27,True,claim_blocked,69.86
99,DOCUMENT_REQUEST_READY,00820854000114,QUALIDADE MINERAÇÃO  LTDA,SC,82892316000108-2-000633/2024,"Contratação de empresa para execução de drenagem, pavimentação asfáltica e sinalização viária, localizada na Rua Arcanjo Cândido da Silva, Bairro Praia de Fora, Palhoça/SC, incluindo fornecimento de m",3347467.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-10-22,True,claim_blocked,69.86
100,DOCUMENT_REQUEST_READY,04406660000128,TERRAMAXX - CONSTRUCOES  LTDA,SC,83009860000113-2-000158/2025,"Contratação de empresa especializada para execução de obra completa de pavimentação asfáltica nas Ruas: Armando Marinho, Das Camélias, Dorli Gatto, Fioravante Zaffari, Itororó T-04, João Sufiatti, Leo",3269900.0,UNKNOWN,False,R-D,2025-01-08,True,claim_blocked,69.84
