claim_id,run_id,profile_hash,cutoff,opportunity_id,recommendation,internal_ranking,confidence,orgao_nome,statement,hard_blockers,missing_information
dec-76,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,76,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE SAUDADES,"Oportunidade 76 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE SAUDADES",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-119,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,119,NÃO_PARTICIPAR,NO_GO,HIGH,FUNDO MUNICIPAL DE SAUDE DE SAO DOMINGOS,"Oportunidade 119 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=FUNDO MUNICIPAL DE SAUDE DE SAO DOMINGOS",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-158,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,158,NÃO_PARTICIPAR,NO_GO,HIGH,INSTITUTO DO MEIO AMBIENTE DO ESTADO DE SANTA CATARINA,"Oportunidade 158 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=INSTITUTO DO MEIO AMBIENTE DO ESTADO DE SANTA CATARINA",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel"", ""valor_estimado""]"
dec-117,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,117,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE NOVO HORIZONTE,"Oportunidade 117 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE NOVO HORIZONTE",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""margem_minima"", ""risco_aceitavel""]"
dec-184,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,184,NÃO_PARTICIPAR,NO_GO,HIGH,FUNDO ESTADUAL DE SAUDE,"Oportunidade 184 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=FUNDO ESTADUAL DE SAUDE",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel"", ""valor_estimado""]"
dec-287,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,287,REVIEW,REVIEW,LOW,MUNICIPIO DE TIJUCAS,"Oportunidade 287 → REVIEW (score=69, conf=LOW) órgão=MUNICIPIO DE TIJUCAS",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-294,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,294,REVIEW,REVIEW,LOW,MUNICIPIO DE VITOR MEIRELES,"Oportunidade 294 → REVIEW (score=69, conf=LOW) órgão=MUNICIPIO DE VITOR MEIRELES",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-297,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,297,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE SAO DOMINGOS,"Oportunidade 297 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE SAO DOMINGOS",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-351,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,351,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE SANTA ROSA DE LIMA,"Oportunidade 351 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE SANTA ROSA DE LIMA",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-358,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,358,NÃO_PARTICIPAR,NO_GO,HIGH,FUNDO MUN. DE ASSISTENCIA SOCIAL DE JARAGUA DO SUL-FMAS,"Oportunidade 358 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=FUNDO MUN. DE ASSISTENCIA SOCIAL DE JARAGUA DO SUL-FMAS",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-374,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,374,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE SCHROEDER,"Oportunidade 374 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE SCHROEDER",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-120,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,120,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE BRUSQUE,"Oportunidade 120 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE BRUSQUE",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-141,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,141,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE RODEIO,"Oportunidade 141 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE RODEIO",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""margem_minima"", ""risco_aceitavel""]"
dec-116,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,116,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE RODEIO,"Oportunidade 116 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE RODEIO",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-115,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,115,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE ITAJAI,"Oportunidade 115 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE ITAJAI",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
