opportunity_id,source_id,orgao_nome,objeto,valor_estimado,modalidade,status_canonico,system_recommendation,system_internal_ranking,system_confidence,stratum,human_decision,human_reason,hard_block_confirmed,missing_information,would_present_to_client,reviewed_at,reviewer
171,00394502000144-1-007841/2026,COMANDO DA MARINHA,Aquisição de medicamento conforme especificação no Termo de Referência,17229.15,Dispensa,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
188,82782079000114-1-000067/2026,SERVICO INTERMUNICIPAL DE AGUA E ESGOTO,"Poste padrão Trifásico com aprovação CELESC, 07 (sete) metros, em concreto armado, com escavação e colocação a cargo da contratada junto ao reservatório R14, no Lot. Poente do Sol, município de Capinz",3800.00,Dispensa,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
122,82892274000105-1-000055/2026,MUNICIPIO DE SAO JOSE,"REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA(S) ESPECIALIZADA(S) PARA EVENTUAL FORNECIMENTO E EXECUÇÃO DE SERVIÇOS DE INSTALAÇÃO E SUBSTITUIÇÃO DE REDES DE PROTEÇÃO, REDE DE PROTEÇÃO ANTI POMBOS/PÁS",,Pregão - Eletrônico,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
76,83021881000154-1-000049/2026,MUNICIPIO DE SAUDADES,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE TRANSPORTE ESCOLAR PARA ALUNOS DO ENSINO MÉDIO MATRICULADOS NA REDE ESTADUAL DE ENSINO , RESIDENTES EM ZONA RURAL (DENOMINADO ROTEIRO 01, COM 39 KM ",78546.00,Pregão - Eletrônico,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
119,11888327000168-1-000003/2026,FUNDO MUNICIPAL DE SAUDE DE SAO DOMINGOS,Aquisição de aparelhos e equipamentos destinados à estruturação da Academia Municipal de Saúde do Município de São Domingos – Santa Catarina.,215285.41,Pregão - Eletrônico,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
158,83256545000190-1-000085/2026,INSTITUTO DO MEIO AMBIENTE DO ESTADO DE SANTA CATARINA,"Aquisição de 01 (uma) fragmentadora de papel elétrica para atender às necessidades do Gabinete da Presidência do Instituto do Meio Ambiente de Santa Catarina (IMA), destinada à destruição segura de do",,Dispensa,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
117,95990115000187-1-000019/2026,MUNICIPIO DE NOVO HORIZONTE,"[Portal de Compras Públicas] - Contratação de empresa especializada para fornecimento, mediante cessão de uso (locação), de solução integrada de Sistema de Gestão Pública, em ambiente de computação em",855062.35,Pregão - Eletrônico,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
184,80673411000187-1-000255/2026,FUNDO ESTADUAL DE SAUDE,"Registro de preços para futura e eventual aquisição de medicamentos, por Dispensa de Licitação, para atendimento da demanda da Gerência de Bens Regulares - GEBER.",,Dispensa,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
297,83009894000108-1-000089/2026,MUNICIPIO DE SAO DOMINGOS,"Contratação de empresa especializada para execução de 20 (vinte) Unidades Habitacionais a serem executadas em novo loteamento a ser executado no Bairro Nossa Senhora Aparecida, no município de São Dom",2561380.51,Concorrência - Eletrônica,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
351,82926593000186-1-000063/2026,MUNICIPIO DE SANTA ROSA DE LIMA,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAR A CONSTRUÇÃO DE SALÃO DE EVENTOS NA COMUNIDADE DE SANTA BARBARA, SANTA ROSA DE LIMA - SC.",757561.68,Concorrência - Eletrônica,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
358,13170158000151-1-000086/2026,FUNDO MUN. DE ASSISTENCIA SOCIAL DE JARAGUA DO SUL-FMAS,"Constitui objeto da presente licitação, a contratação de pessoa jurídica para prestação de serviços técnicos de engenharia de elaboração de projetos executivos de muros de contenção em 2 (dois) imóvei",49126.70,Concorrência - Eletrônica,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
374,83102491000109-1-000299/2026,MUNICIPIO DE SCHROEDER,Contratação de empresa especializada para execução de coreto na praça em frente à Prefeitura Municipal de Schroeder.,149115.27,Concorrência - Eletrônica,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
120,83102343000194-1-000137/2026,MUNICIPIO DE BRUSQUE,REGISTRO DE PREÇOS PARA EVENTUAL E FUTURA CONTRATAÇÃO DE SERVIÇO DE CHAVEIRO.,515556.45,Pregão - Eletrônico,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
141,83102814000164-1-000096/2026,MUNICIPIO DE RODEIO,"Contratação de empresa para prestação de serviços de lavação, engraxe e pulverização da frota municipal.",325994.85,Pregão - Eletrônico,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
116,83102814000164-1-000095/2026,MUNICIPIO DE RODEIO,"Contratação de empresa para prestação de serviços de lavação, engraxe e pulverização da frota municipal",325994.85,Pregão - Eletrônico,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
115,83102277000152-1-000397/2026,MUNICIPIO DE ITAJAI,CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS CONTÍNUOS COM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA PARA CONDUÇÃO DE VEÍCULOS PESADOS E OPERAÇÃO DE EQUIPAMENTOS PERTENCENTES À SECRETARIA MUNICIPAL DE O,1701125.28,Pregão - Eletrônico,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
177,08345495000100-1-000024/2026,FUNDO MUNICIPAL DE SAUDE DE ARAQUARI - SC,"Contratação emergencial de instituição para a prestação de serviços especializados de saúde, compreendendo consultas médicas especializadas, procedimentos, exames diagnósticos, emissão de laudos, aten",756151.02,Dispensa,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
179,82940776000156-1-000553/2026,MUNICIPIO DE CAIBI,[Portal de Compras Públicas] - AQUISIÇÃO DE BRINQUEDOS E MATERIAIS DE ORGANIZAÇÃO DESTINADOS AO ATENDIMENTO DAS ATIVIDADES RECREATIVAS DA NOVA UNIDADE DE ENSINO CEI ABC.,20843.05,Dispensa,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
94,82939406000107-1-000147/2026,MUNICIPIO DE CAPINZAL,"Aquisição de tubos de concreto com diâmetros de 80 cm, 100 cm, 120cm, 150 cm e 200 cm, destinados à execução de obras e serviços de infraestrutura realizados pela Secretaria Municipal de Infraestrutur",468570.00,Pregão - Eletrônico,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
