opportunity_id,source_id,orgao_nome,objeto,valor_estimado,modalidade,status_canonico,system_recommendation,system_internal_ranking,system_confidence,stratum,human_decision,human_reason,hard_block_confirmed,missing_information,would_present_to_client,reviewed_at,reviewer
158,83256545000190-1-000085/2026,INSTITUTO DO MEIO AMBIENTE DO ESTADO DE SANTA CATARINA,"Aquisição de 01 (uma) fragmentadora de papel elétrica para atender às necessidades do Gabinete da Presidência do Instituto do Meio Ambiente de Santa Catarina (IMA), destinada à destruição segura de do",,Dispensa,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
304,01612812000150-1-000092/2026,MUNICIPIO DE SAO BERNARDINO,O OBJETO DA PRESENTE LICITAÇÃO CONSISTE NA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA CIVIL PARA EXECUÇÃO DA REFORMA DO GINÁSIO DE ESPORTES AFONSO FRITZEN DO MUNICÍPIO DE SÃO BERNARDINO COM ÁR,230191.07,Concorrência - Eletrônica,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
156,34060183000152-1-000031/2026,DEPARTAMENTO ESTADUAL DE TRANSITO,"Aquisição de suprimentos de identificação funcional (porta-crachás, cordões personalizados e crachás em PVC com tecnologia de aproximação).",,Dispensa,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
214,80673411000187-1-000264/2026,FUNDO ESTADUAL DE SAUDE,"Registro de preços para futura e eventual aquisição de medicamentos, suplemento alimentar, por Dispensa de Licitação, para atendimento da demanda da Gerência de Bens Judiciais - GEJUD.",,Dispensa,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
153,08935681000191-1-000012/2026,FUNDO MUNICIPAL DE SAUDE DE FLORIANOPOLIS,Contratação de empresa prestadora de serviços de saúde especializada na realização de transporte intradiário de pacientes por meio de veículos terrestres tipo ambulância tipo B e tipo D.,232080.00,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
151,02216925000108-1-000015/2026,FUNDACAO CULTURAL HELMY WENDT MAYER,CONTRATAÇÃO DE EMPRESA DE ENGENHARIA ESPECIALIZADA PARA EXECUÇÃO DE REFORMA NO PREDIO FUNDAÇÃO CULTURAL HELMY WENDT MAYER.,141432.46,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
141,83102814000164-1-000096/2026,MUNICIPIO DE RODEIO,"Contratação de empresa para prestação de serviços de lavação, engraxe e pulverização da frota municipal.",325994.85,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
294,79372520000185-1-000141/2026,MUNICIPIO DE VITOR MEIRELES,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DA PAVIMENTAÇÃO DA RUA SANTA CATARINA E DA ESTRADA GERAL SALTO DOLLMANN, NUM TRECHO DE 3,864 KM, NO MUNICÍPIO DE VITOR MEIRELES, COMPREENDENDO A EXEC",7537206.64,Concorrência - Eletrônica,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
297,83009894000108-1-000089/2026,MUNICIPIO DE SAO DOMINGOS,"Contratação de empresa especializada para execução de 20 (vinte) Unidades Habitacionais a serem executadas em novo loteamento a ser executado no Bairro Nossa Senhora Aparecida, no município de São Dom",2561380.51,Concorrência - Eletrônica,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
140,10455823000165-1-000029/2026,FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,"Contratação de empresa especializada em serviços de laboratório de prótese dentária para execução da etapa laboratorial necessária à confecção, conserto e reembasamento de próteses dentárias, destinad",252350.00,Pregão - Eletrônico,upcoming,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
289,11607006000148-1-000027/2026,FUNDO MUNICIPAL DE SAUDE DE TIJUCAS,"Contratação de empresa especializada para fornecimento de materiais e a execução dos serviços de reforma da unidade básica de saúde Dona Calina, localizada no bairro Praça, para atender as demandas do",346531.36,Concorrência - Eletrônica,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
137,83899526000182-1-000094/2026,UNIVERSIDADE FEDERAL DE SANTA CATARINA,"Registro de preços para a eventual contratação de empresa especializada na execução de serviços de lavanderia, sem prestação de mão de obra exclusiva, para atender à Universidade Federal de Santa Cata",147617.23,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
