entity_id,source,capability,decision,justification,validated_at,decision_source,role,blockers
82892324,pncp,open_tenders,applicable,Fonte federal com adesao voluntaria de todas as esferas e naturezas,2026-07-18,config/source_applicability.yaml:rule,primary,[]
82892324,pncp,historical_contracts,applicable,Fonte federal com adesao voluntaria de todas as esferas e naturezas,2026-07-18,config/source_applicability.yaml:rule,primary,[]
82892324,ciga_ckan,open_tenders,applicable,CIGA Dados — publicações DOM/SC municipais (CKAN público),2026-07-18,config/source_applicability.yaml:rule,primary,[]
82892324,ciga_ckan,historical_contracts,not_applicable,Source ciga_ckan does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,primary,[]
82892324,pcp,open_tenders,applicable,Plataforma multiestadual com ampla cobertura,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
82892324,pcp,historical_contracts,not_applicable,Source pcp does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,complementary,[]
82892324,compras_gov,open_tenders,applicable,Compras federais com adesao multiesfera,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
82892324,compras_gov,historical_contracts,not_applicable,Source compras_gov does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,complementary,[]
82892324,sc_compras,open_tenders,applicable,Plataforma estadual de SC,2026-07-18,config/source_applicability.yaml:rule,primary,[]
82892324,sc_compras,historical_contracts,not_applicable,Source sc_compras does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,primary,[]
82892324,contracts,open_tenders,not_applicable,Source contracts does not declare capability open_tenders,2026-07-18,scripts.crawl.registry.capabilities,primary,[]
82892324,contracts,historical_contracts,applicable,Fonte federal com adesao voluntaria de todas as esferas e naturezas,2026-07-18,config/source_applicability.yaml:rule,primary,[]
82892324,transparencia,open_tenders,not_applicable,Aplicavel apenas quando o portal de transparencia e verificavel,2026-07-18,config/source_applicability.yaml:rule,gap_fill,[]
82892324,transparencia,historical_contracts,not_applicable,Source transparencia does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,gap_fill,[]
82892324,tce_sc,open_tenders,applicable,Tribunal de Contas de SC — todas as esferas,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
82892324,tce_sc,historical_contracts,applicable,Tribunal de Contas de SC — todas as esferas,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
82892324,doe_sc,open_tenders,not_applicable,DOE-SC nao cobre entes municipais diretamente,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
82892324,doe_sc,historical_contracts,not_applicable,Source doe_sc does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,complementary,[]
82892324,mides_bigquery,open_tenders,not_applicable,MIDES BigQuery nao cobre entes municipais,2026-07-18,config/source_applicability.yaml:rule,gap_fill,[]
82892324,mides_bigquery,historical_contracts,not_applicable,Source mides_bigquery does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,gap_fill,[]
82892324,dom_sc,open_tenders,applicable,Diario oficial dos municipios de SC,2026-07-18,config/source_applicability.yaml:rule,gap_fill,[]
82892324,dom_sc,historical_contracts,not_applicable,Source dom_sc does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,gap_fill,[]
02179215,pncp,open_tenders,applicable,Fonte federal com adesao voluntaria de todas as esferas e naturezas,2026-07-18,config/source_applicability.yaml:rule,primary,[]
02179215,pncp,historical_contracts,applicable,Fonte federal com adesao voluntaria de todas as esferas e naturezas,2026-07-18,config/source_applicability.yaml:rule,primary,[]
02179215,ciga_ckan,open_tenders,applicable,CIGA Dados — publicações DOM/SC municipais (CKAN público),2026-07-18,config/source_applicability.yaml:rule,primary,[]
02179215,ciga_ckan,historical_contracts,not_applicable,Source ciga_ckan does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,primary,[]
02179215,pcp,open_tenders,applicable,Plataforma multiestadual com ampla cobertura,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
02179215,pcp,historical_contracts,not_applicable,Source pcp does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,complementary,[]
02179215,compras_gov,open_tenders,applicable,Compras federais com adesao multiesfera,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
02179215,compras_gov,historical_contracts,not_applicable,Source compras_gov does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,complementary,[]
02179215,sc_compras,open_tenders,applicable,Plataforma estadual de SC,2026-07-18,config/source_applicability.yaml:rule,primary,[]
02179215,sc_compras,historical_contracts,not_applicable,Source sc_compras does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,primary,[]
02179215,contracts,open_tenders,not_applicable,Source contracts does not declare capability open_tenders,2026-07-18,scripts.crawl.registry.capabilities,primary,[]
02179215,contracts,historical_contracts,applicable,Fonte federal com adesao voluntaria de todas as esferas e naturezas,2026-07-18,config/source_applicability.yaml:rule,primary,[]
02179215,transparencia,open_tenders,not_applicable,Aplicavel apenas quando o portal de transparencia e verificavel,2026-07-18,config/source_applicability.yaml:rule,gap_fill,[]
02179215,transparencia,historical_contracts,not_applicable,Source transparencia does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,gap_fill,[]
02179215,tce_sc,open_tenders,applicable,Tribunal de Contas de SC — todas as esferas,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
02179215,tce_sc,historical_contracts,applicable,Tribunal de Contas de SC — todas as esferas,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
02179215,doe_sc,open_tenders,not_applicable,DOE-SC nao cobre entes municipais diretamente,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
02179215,doe_sc,historical_contracts,not_applicable,Source doe_sc does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,complementary,[]
02179215,mides_bigquery,open_tenders,not_applicable,MIDES BigQuery nao cobre entes municipais,2026-07-18,config/source_applicability.yaml:rule,gap_fill,[]
02179215,mides_bigquery,historical_contracts,not_applicable,Source mides_bigquery does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,gap_fill,[]
02179215,dom_sc,open_tenders,applicable,Diario oficial dos municipios de SC,2026-07-18,config/source_applicability.yaml:rule,gap_fill,[]
02179215,dom_sc,historical_contracts,not_applicable,Source dom_sc does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,gap_fill,[]
02305652,pncp,open_tenders,applicable,Fonte federal com adesao voluntaria de todas as esferas e naturezas,2026-07-18,config/source_applicability.yaml:rule,primary,[]
02305652,pncp,historical_contracts,applicable,Fonte federal com adesao voluntaria de todas as esferas e naturezas,2026-07-18,config/source_applicability.yaml:rule,primary,[]
02305652,ciga_ckan,open_tenders,applicable,CIGA Dados — publicações DOM/SC municipais (CKAN público),2026-07-18,config/source_applicability.yaml:rule,primary,[]
02305652,ciga_ckan,historical_contracts,not_applicable,Source ciga_ckan does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,primary,[]
02305652,pcp,open_tenders,applicable,Plataforma multiestadual com ampla cobertura,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
02305652,pcp,historical_contracts,not_applicable,Source pcp does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,complementary,[]
02305652,compras_gov,open_tenders,applicable,Compras federais com adesao multiesfera,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
02305652,compras_gov,historical_contracts,not_applicable,Source compras_gov does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,complementary,[]
02305652,sc_compras,open_tenders,applicable,Plataforma estadual de SC,2026-07-18,config/source_applicability.yaml:rule,primary,[]
02305652,sc_compras,historical_contracts,not_applicable,Source sc_compras does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,primary,[]
02305652,contracts,open_tenders,not_applicable,Source contracts does not declare capability open_tenders,2026-07-18,scripts.crawl.registry.capabilities,primary,[]
02305652,contracts,historical_contracts,applicable,Fonte federal com adesao voluntaria de todas as esferas e naturezas,2026-07-18,config/source_applicability.yaml:rule,primary,[]
02305652,transparencia,open_tenders,not_applicable,Aplicavel apenas quando o portal de transparencia e verificavel,2026-07-18,config/source_applicability.yaml:rule,gap_fill,[]
02305652,transparencia,historical_contracts,not_applicable,Source transparencia does not declare capability historical_contracts,2026-07-18,scripts.crawl.registry.capabilities,gap_fill,[]
02305652,tce_sc,open_tenders,applicable,Tribunal de Contas de SC — todas as esferas,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
02305652,tce_sc,historical_contracts,applicable,Tribunal de Contas de SC — todas as esferas,2026-07-18,config/source_applicability.yaml:rule,complementary,[]
