pncp_id,objeto_compra,orgao_cnpj,uf,valor_total_estimado,is_active
85361863000147-1-000104/2026,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA E SERVIÇOS COMPLEMENTARES NO MUNICÍPIO DE PALMITOS/SC, ORGANIZADA EM 2 (DOIS) LOTES: LOTE 1 – RUA BENTO GONÇALVES (ITEM 1); E LOTE 2 – RUA HUMAITÁ – TRECHO I (ITEM 2) E RUA HUMAITÁ – TRECHO II (ITEM 3), ADMITIDA A ADJUDICAÇÃO DE MAIS DE UM LOTE À MESMA LICITANTE, COM A FORMALIZAÇÃO DE CONTRATO DISTINTO PARA CADA ITEM, CONFORME PROJETOS, PLANILHAS ORÇAMENTÁRIAS, MEMORIAIS DESCRITIVOS, CRONOGRAMAS FÍSICO-FINANCEIROS E TERMO DE REFERÊNCIA.",85361863000147,SC,2189127.89,True
01599409000139-1-000012/2026,"Contratação de pessoa jurídica especializada para a confecção, personalização e fornecimento, de forma parcelada, de camisetas, camisas e moletons personalizados, destinados ao atendimento das necessidades da Prefeitura Municipal de Capão Alto, suas Secretarias Municipais, escolas da Rede Municipal de Ensino, Fundo Municipal de Saúde e Fundo Municipal de Desenvolvimento Social e Habitação. Os itens deverão ser confeccionados conforme as especificações definidas pela Administração, incluindo personalização com logotipos, brasão do Município e demais elementos institucionais, visando atender às demandas de identificação, campanhas, eventos, projetos e demais ações promovidas pelo Município.",01599409000139,SC,149738.90,True
95988309000148-1-000227/2026,"Realização de serviços de manutenção elétrica corretiva em 02 (dois) veículos da frota escolar do Município de Riqueza/SC, quais sejam o ônibus Mercedes-Benz 1519, placa QIF-0289, e o ônibus Volkswagen 15.190, placa MKK-8147, ambos vinculados à Secretaria de Educação e utilizados no transporte escolar dos estudantes da rede municipal de ensino.",95988309000148,SC,1545.00,True
01608820000123-1-000074/2026,"CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE PLANEJAMENTO, ORGANIZAÇÃO, COORDENAÇÃO E EXECUÇÃO DE CONCURSO PÚBLICO E DE 02 (DOIS) PROCESSOS SELETIVOS SIMPLIFICADOS, COMPREENDENDO A ELABORAÇÃO, APLICAÇÃO E CORREÇÃO DE PROVAS OBJETIVAS E PRÁTICAS, DIVULGAÇÃO DOS RESULTADOS E DEMAIS ATOS NECESSÁRIOS À REALIZAÇÃO DOS CERTAMES, DESTINADOS AO PROVIMENTO DE VAGAS E À FORMAÇÃO DE CADASTRO DE RESERVA DO MUNICÍPIO DE PAINEL/SC.",01608820000123,SC,10493.33,True
pcp_491615,"ALIENAÇÃO DE BEM IMÓVEL (LOTE) DE PROPRIEDADE DO MUNICÍPIO DE IRANI, DENOMINADO ÁREA 03, LOCALIZADO NO DISTRITO INDUSTRIAL III.",,SC,,True
pcp_492225,"Fornecimento e instalação de equipamentos recreativos infantis, grama sintética e mobiliário urbano.",,SC,,True
83899526000182-1-000105/2026,"Pagamento taxa de inscrição da aluna Isadora Vieira Zacarias, Matrícula: 25100712
- participação no 26º Congresso Brasileiro de Engenharia e Ciência dos Materiais que ocorrerá de 22 a 26 de
novembro de 2026 em em Florianópolis/SC",83899526000182,SC,250.00,True
83899526000182-1-000107/2026,"Pagamento taxa de inscrição aluno Lucas Ventura Turnes, matrícula 23102424 no IBRACON - 67º Congresso Brasileiro do Concreto que ocorrerá de 30 de setembro a 03 de outubro de 2026 em Natal/RN",83899526000182,SC,1100.00,True
01608820000123-1-000075/2026,"CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE SEGURO VEICULAR, REFERENTE AO SEGURO DE RESPONSABILIDADE CIVIL OBRIGATÓRIA – RCO, DESTINADO À FROTA DE VEÍCULOS EM USO PELO 
MUNICÍPIO DE PAINEL E SUAS SECRETARIAS.",01608820000123,SC,6990.01,True
pcp_492967,"Contratação de empresa especializada para prestação de serviços integrados de geotecnologia e planejamento urbano, compreendendo aerolevantamento, imageamento 360°, atualização da base cartográfica, recadastramento e cadastramento imobiliário,...",,SC,,True
95991287000175-1-000051/2026,"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL AQUISIÇÃO DE UNIFORMES COMPLETOS DESTINADOS À BANDA ARTÍSTICA MUNICIPAL (FANFARRA), GRUPO DE DANÇA, GRUPO DA PESSOA IDOSA E PARTICIPANTES DAS ATIVIDADES ESPORTIVAS DO MUNICÍPIO DE PONTE ALTA DO NORTE/SC, INCLUINDO CONFECÇÃO, FORNECIMENTO E ENTREGA. ",95991287000175,SC,60446.87,True
83899526000182-1-000102/2026,"Concessão de uso de área física da Universidade Federal de Santa Catarina (UFSC), medindo 70,52 m², localizada no Centro de Cultura e Eventos, destinada à exploração e operação comercial de serviço de minimercado de autoatendimento",83899526000182,SC,85542.12,True
83899526000182-1-000103/2026,"Pagamento taxa de inscrição dos alunos Gustavo Mendonça Campos, Matrícula: 23103571 e Maria Eduarda Faversani Furtado, Matrícula: 17100609
- participação no Encontro Nacional de Engenharia de Produção (ENEGEP) que ocorrerá de 20 a 23 de outubro de 2026 em São Paulo/SP
",83899526000182,SC,1040.00,True
83899526000182-1-000104/2026,"Taxa de inscrição do servidor Ivan Helmuth Bechtold (895.230.409-87) para participarem do evento ""27th International Conference on Science and Technology of Synthetic Electronic Materials (ICSM 2026)"", a ser realizado no período de 19 a 24/07/2026, no Rio de Janeiro - RJ. ",83899526000182,SC,2371.12,True
84438381000185-1-000205/2026,AQUISIÇÃO DE  VEÍCULO TIPO CAMINHÃO DE FABRICAÇÃO NACIONAL COM CABINE DUPLA/ESTENDIDA E  CARROCERIA DE MADEIRA INSTALADA E ADAPTADA,84438381000185,SC,626247.50,True
84438381000185-1-000206/2026,AQUISIÇÃO DE VEÍCULO TIPO CAMINHÃO CABINE DUPLA EQUIPADO COM CAÇAMBA DE MADEIRA.,84438381000185,SC,626247.50,True
84438381000185-1-000208/2026,Serviço de revisão de 12 meses de garantia da cortadora de piso CPV350 HONDA GX430T.,84438381000185,SC,80.00,True
01612528000184-1-000046/2026,"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL AQUISIÇÃO DE UNIFORMES, DESTINADOS AO ATENDIMENTO DAS NECESSIDADES DOS DIVERSOS ÓRGÃOS E ENTIDADES DA ADMINISTRAÇÃO PÚBLICA DO MUNICÍPIO DE BANDEIRANTE/SC,",01612528000184,SC,448999.84,True
85361863000147-1-000102/2026,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA, DEVIDAMENTE HOMOLOGADA E AUTORIZADA PELA CELESC DISTRIBUIÇÃO S.A, PARA A EXECUÇÃO DOS SERVIÇOS DE DESLOCAMENTO DA REDE DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DESTINADA À ADEQUAÇÃO DA INFRAESTRUTURA ELÉTRICA DA PRAÇA CARLOS CULMEY NO MUNICÍPIO DE PALMITOS/SC.",85361863000147,SC,52188.53,True
pcp_492409,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE CURSO PREPARATÓRIO INTENSIVO PARA O EXAME NACIONAL DO ENSINO MÉDIO - ENEM,DESTINADO AOS ESTUDANTES DA REDE PÚBLICA DO MUNICÍPIO DE IMBITUBA/SC, CONTEMPLANDO A PRESTAÇÃO DE SERVIÇOS EDUCACIONAIS...",,SC,,True
00284689000123-1-000123/2026,"Aquisição de 01 (uma) inscrição para participação no curso ""Agente de Contratação e Fiscais de Contratos"", nos dias 21 , 22 , 23 e 24 de julho de 2026, na cidade de Curitiba-PR, para o servidor Daniel Heberle.",00284689000123,SC,2900.00,True
01612781000138-1-000099/2026,"Contratação de empresa especializada no ramo de administração, gerenciamento, emissão e fornecimento de cartão com tarja magnética e/ou com chip de segurança, para efetuar o pagamento  de “Programas de  Incentivo a Agricultura e auxilio Transporte” de Santiago do Sul e cartões para o pagamento de valores referente a “benefícios eventuais” e demais benefícios criados por Lei ou que virão ser instituídos para atender programas de governo, concedidos aos beneficiários do Município de Santiago do Sul, conforme Leis Municipais específicas.",01612781000138,SC,504800.00,True
00394452000103-1-013237/2026,"Impressora de tecnologia laser monocromática, nova e de primeiro uso, fornecida em embalagem original lacrada de fábrica. O equipamento deve possuir tensão de alimentação de 220 V (ou bivolt automático com suporte a 220 V), interfaces de conectividade USB integradas, e acompanhar obrigatoriamente cabo de alimentação, cabo de comunicação USB original e o cartucho de toner necessário para o pleno funcionamento imediato da máquina.",00394452000103,SC,3029.80,True
00394452000103-1-013336/2026,"Prestação de serviços de manutenção corretiva dos sistemas de ar-condicionado das viaturas ambulância do 63º Batalhão de Infantaria, incluindo o fornecimento de peças, materiais, insumos e mão de obra especializada necessários à execução dos serviços, bem como a realização de ajustes, regulagens, carga de fluido  refrigerante, testes operacionais e demais procedimentos indispensáveis ao restabelecimento do pleno funcionamento dos sistemas de climatização.",00394452000103,SC,11515.00,True
01612698000169-1-000104/2026,Contratação de empresa para Vistoria Veicular em Caminhão Agrale/13000 – Ano/Modelo: 2010/2011 – Placa MIM7G92 – Chassi: 9BYC48A2ABC000598 – Renavam: 312880855 pertencente a Defesa Civil.,01612698000169,SC,300.00,True
