pncp_id,objeto_compra,orgao_cnpj,uf,valor_total_estimado,is_active
95991097000158-1-000099/2026,"[Portal de Compras Públicas] - REGISTRO DE PREÇO para futura e eventual contratação, conforme demanda, de empresa especializada na prestação de serviço de fornecimento de refeições (café da manhã, lanche, almoço e jantar), no Município de Lages/SC.",95991097000158,SC,115527.80,True
95988309000148-1-000217/2026,"Registro de preços para futura e eventual aquisição, de forma estimada e parcelada, de cestas básicas compostas por gêneros alimentícios, produtos de higiene pessoal e materiais de limpeza, destinadas ao atendimento das famílias beneficiárias do Programa Social do Serviço Voluntário - Riqueza Florida, bem como ao cumprimento de decisão judicial, conforme especificações, quantitativos e condições estabelecidos neste Termo de Referência e seus anexos.",95988309000148,SC,125611.56,True
pcp_492449,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE RASTREAMENTO, MONITORAMENTO E GESTÃO DA FROTA DE VEÍCULOS E MÁQUINAS DO MUNICÍPIO DE PRINCESA, POR MEIO DE TECNOLOGIA GPS/GSM/GPRS OU EQUIVALENTE, ABRANGENDO A INSTALAÇÃO, ATIVAÇÃO,...",,SC,,True
01613853000161-1-000085/2026,Contratação de empresa especializada na prestação de serviços técnicos de informática (TI),01613853000161,SC,55848.00,True
01613853000161-1-000086/2026,Aquisição de Adubo Orgânico - Atender Lei 1173/2026,01613853000161,SC,210000.00,True
01258036000132-1-000009/2026,CONTRATAÇÃO DE EMPRESAS ESPECIALIZADAS PARA FORNECIMENTO DE MATERIAL ELÉTRICO E PRESTAÇÃO DE SERVIÇOS DE ELETRICISTA PARA ALTERAÇÃO DO PADRÃO DE ENERGIA ELÉTRICA DAS INSTALAÇÕES DA CÂMARA MUNICIPAL DE ATALANTA/SC,01258036000132,SC,3435.00,True
sc-60805,Aquisição de coletores para armazenamento de lâmpadas e eletroeletrônicos para o Instituto do Meio Ambiente de Santa Catarina,,SC,,True
01280363000190-1-000059/2026,"Contratação de empresa certificadora credenciada para oferta de Curso de Capacitação Profissional – CCP aos profissionais dirigentes, conselheiros (Conselho Deliberativo e Conselho Fiscal) e membros do Comitê de Investimentos do IPREVILLE, disponibilizando 12 (doze) inscrições para a utilização de servidores no âmbito de seu procedimento acadêmico.",01280363000190,SC,13000.00,True
83900522000177-1-000025/2026,Contratação de empresa para executar o recrutamento de especialistas para ministrar palestra online sobre Estratégias e Práticas em Funções Executivas,83900522000177,SC,6214.29,True
pcp_492455,"REGISTRO DE PREÇOS PARA EVENTUAL E FUTURA CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE BORRACHARIA EM GERAL, INCLUSO ALINHAMENTO, BALANCEAMENTO, GEOMERIA E FORNECIMENTO DE PEÇAS CORRELATAS, PARA UTILIZAÇÃO NA MANUTENÇÃO DA FROTA DAS...",,SC,,True
01613853000161-1-000087/2026,"Aquisição de botijões de Gás Liquefeito de Petróleo – GLP e recargas de gás, destinados ao atendimento das necessidades das Secretarias e setores da Administração Municipal, conforme especificações e quantitativos estabelecidos neste Termo de Referência.",01613853000161,SC,37474.00,True
01294821000140-1-000009/2026,"Aquisição de passagem aérea com contratação do Serviço de Menor Desacompanhado (UMNR) para o transporte de menor acolhida na instituição Paraíso da Criança, com destino a Salvador/BA, em cumprimento à determinação do Ministério Público nos autos do Pedido de Medida de Proteção nº 5001911-68.2026.8.24.0078/SC, que determinou sua reintegração familiar junto à avó materna, residente no Estado da Bahia.",01294821000140,SC,4299.44,True
01614019000190-1-000003/2026,"Registro de preço para contratação de serviços, por hora trabalhada, destinados à manutenção e instalação elétrica nos diversos prédios do Município de Treviso/SC, para atender às necessidades da Prefeitura Municipal, Fundo Municipal de Assistência Social, Fundo Municipal de Saúde, FUNTREV e SAMAE pelos próximos 12 meses, podendo ser prorrogado, com previsão de renovação de saldo, nos termos da Lei 14.133/2021.",01614019000190,SC,144585.00,True
01356308000137-1-000041/2026,"Contratação de empresa especializada para prestação de serviços técnicos profissionais especializados, de natureza predominantemente intelectual, de consultoria técnico-contábil, tributária e previdenciária, destinados ao levantamento, conferência, apuração e orientação quanto às obrigações e às compensações tributárias e previdenciárias incidentes sobre a folha de pagamento do CISAMESC, abrangendo as competências setembro/2025, outubro/2025, novembro/2025, 13º salário/2025, dezembro/2025 e janeiro/2026, com análise integrada das informações de folha, eSocial, EFD-Reinf, DCTFWeb, PER/DCOMP e demonstrativos correlatos, identificação de inconsistências e potenciais créditos, elaboração de memória de cálculo e relatório técnico conclusivo, bem como suporte técnico para esclarecimentos e orientação quanto às providências administrativas cabíveis.",01356308000137,SC,10200.00,True
01356308000137-1-000042/2026,"1.1.	Contratação de profissional especializado em consulta de profissionais de nível superior (exceto médico) psicologia, conforme Ofício nº 25/2026, nos termos do contrato de programa Celebrado entre o CONSÓRCIO PÚBLICO INTERFEDERATIVO DE SAÚDE DA AMESC - CISAMESC e o Município de Passo de Torres e CONTRATO DE PROGRAMA Nº 003/CISAMESC/2026 e decorrente do EDITAL DE CHAMAMENTO PÚBLICO Nº 001/CISAMESC/2026.",01356308000137,SC,30000.00,True
