target,model,brier,bss,log_loss,ece,roc_auc,lift_top10,n,n_positives
demand_30d,prevalence_baseline,0.1781158543711657,-0.08546005238238186,0.5567136448994056,0.09481532518629669,0.5,1.1059842807967328,11488,2477
demand_30d,frequency_baseline,0.16409250066848127,0.0,0.5289186597515779,0.07726026876360607,0.5395369504647507,2.268478707327606,11488,2477
demand_30d,logistic_l2,0.16202072584268537,0.012625652100832663,0.5078815212343522,0.02889516860243212,0.5349737617150921,2.3128795361187153,11488,2477
demand_30d,hist_gbm_clf,0.15560471028163325,0.05172564469595131,0.4901364111599655,0.023100892128854463,0.5970002706511267,2.4501184614730547,11488,2477
demand_60d,prevalence_baseline,0.24282611261431888,-0.05030052355723691,0.68955512405121,0.13227032736604294,0.5,1.0047846889952152,10970,3762
demand_60d,frequency_baseline,0.231196792887332,0.0,0.6728612538620192,0.13611942555751125,0.49202496517249134,1.8128654970760236,10970,3762
demand_60d,logistic_l2,0.21829599585811507,0.05580006914500668,0.6293100738820636,0.08583200961266416,0.5298410605854089,1.8580542264752793,10970,3762
demand_60d,hist_gbm_clf,0.21272321635428051,0.0799041210837822,0.6165962384306536,0.05614233270085075,0.5832766888465235,1.9617224880382778,10970,3762
demand_90d,prevalence_baseline,0.26873251078032856,-0.016697815296662588,0.7360627359282901,0.149472994658561,0.5,0.9754483826844292,10436,4591
demand_90d,frequency_baseline,0.2643189615804525,0.0,0.7327932631634735,0.18483318190756973,0.4463468246629,1.5633302204629915,10436,4591
demand_90d,logistic_l2,0.23905132943048982,0.09559523084866461,0.6705647780807306,0.08237690912735224,0.5700443777472903,1.5851036218621974,10436,4591
demand_90d,hist_gbm_clf,0.237809873917196,0.10029203922696162,0.667386662331617,0.08278990624330987,0.5916076736591229,1.6917932887183067,10436,4591
competitive_winner_p2a,prevalence_baseline,0.047462499999999984,-0.009210497770764325,0.1983925583884073,4.1666666666675956e-05,0.5,1.0008340283569641,24000,1199
competitive_winner_p2a,frequency_baseline,0.04702933640190967,0.0,0.1950714566648494,0.0008721081284000787,0.6096790086354362,2.8273561301084236,24000,1199
competitive_winner_p2a,logistic_l2,0.019189888957999144,0.591959180669623,0.06544382542673316,0.01723723351646273,0.9733429159476383,9.541284403669724,24000,1199
competitive_winner_p2a,hist_gbm_clf,0.0044537210417191575,0.9052990881338843,0.022487835889194462,0.003109586855411693,0.9972348783116378,9.908256880733944,24000,1199
