bin_lo,bin_hi,n,mean_pred,mean_obs
0.0,0.1,0.0,nan,nan
0.1,0.2,8120.0,0.15233978198808928,0.17167487684729063
0.2,0.30000000000000004,1982.0,0.23901887300029567,0.20686175580222
0.30000000000000004,0.4,600.0,0.34384721811475905,0.3233333333333333
0.4,0.5,250.0,0.44516187560775655,0.448
0.5,0.6000000000000001,134.0,0.5514941161644743,0.5
0.6000000000000001,0.7000000000000001,139.0,0.6547837560074541,0.5971223021582733
0.7000000000000001,0.8,158.0,0.7487558694683603,0.7341772151898734
0.8,0.9,105.0,0.8246644834382261,0.9619047619047619
0.9,1.0,0.0,nan,nan
