cnpj14,razao_social,cohort,target_fit_class,human_class,sector_fit,activity_class,exec_contracts,in_universe,email_send_ready_after_fix,service_warmbly,service_recomputed
11117243000120,CONSORCIO INTER. DESENVOLVIMENTO DA INFRA - CIDIR,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,MONITORAMENTO_CONTRATUAL,gestao_monitoramento_contratual
40515734000128,JULIO GONÇALVES DE CARVALHO,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,BACKOFFICE,reforco_temporario_backoffice
15667412000157,S&F DA ROCHA CONSTRUTORA LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,ADITIVOS,aditivos_extracontratuais
10495235000155,METODO PROJETOS E CONSTRUCOES ELETRICAS LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,MEDICOES,medicoes_glosas_memoria
00572142000123,VALLE ENGENHARIA LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,BACKOFFICE,reforco_temporario_backoffice
37251510000141,SOUZA E FONSECA CONSTRUCOES E COMERCIO. LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,PLANILHAS,auditoria_orcamento_bdi
20906665000176,CONSTRUTORA MCM LTDA - EPP,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,APOIO_LICITACAO,apoio_licitacoes_propostas
35416840000114,IDEALIZE DOCUMENTOS E PROJETOS LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,APOIO_LICITACAO,apoio_licitacoes_propostas
30776622000177,QUEIROZ MIGUEL EMPREENDIMENTOS E CONSTRUCOES LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,MONITORAMENTO_CONTRATUAL,gestao_monitoramento_contratual
47432025000128,PROJHEART ENGENHARIA LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,MEDICOES,medicoes_glosas_memoria
31088105000178,SANTPAV TECNOLOGIA EM ASFALTOS EIRELI,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,ADITIVOS,aditivos_extracontratuais
02063876000102,CCT Construtora de Obras Ltda - EPP,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,APOIO_LICITACAO,apoio_licitacoes_propostas
23467362000192,AVANTTE ENGENHARIA E PARTICIPACÕES LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,MONITORAMENTO_CONTRATUAL,gestao_monitoramento_contratual
27454811000119,E R GONÇALVES ENGENHERIA E SERVIÇO,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,ADITIVOS,aditivos_extracontratuais
28709222000105,EMPROTEC ENGENHARIA LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,PLANILHAS,auditoria_orcamento_bdi
22570295000174,COMERCIAL E SERVICOS LEV LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,ADITIVOS,aditivos_extracontratuais
01606382000164,BMM CONSTRUCAO CIVIL,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,BACKOFFICE,reforco_temporario_backoffice
03818852000189,CONCREVIA CONSTRUTORA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,MONITORAMENTO_CONTRATUAL,gestao_monitoramento_contratual
83665141000150,SETEP CONSTRUÇÕES S.A.,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,APOIO_LICITACAO,apoio_licitacoes_propostas
35190568000105,ALPHAVIAS ENGENHARIA LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,MEDICOES,medicoes_glosas_memoria
10585762000150,CONSTRUTORA MESSINA LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,MONITORAMENTO_CONTRATUAL,gestao_monitoramento_contratual
51274708000171,BFC OBRAS E SOLUCOES INTEGRADAS LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,PLANILHAS,auditoria_orcamento_bdi
03700548000132,ACM CONSTRUTORA LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,PLANILHAS,auditoria_orcamento_bdi
35930943000106,PEREIRA LUCIO ENGENHARIA LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,BACKOFFICE,reforco_temporario_backoffice
11138522000170,IC 2 INFRAESTRUTURA LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,BACKOFFICE,reforco_temporario_backoffice
32534754000118,TJ CONSTRUCOES E REFORMA EIRELI,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,ADITIVOS,aditivos_extracontratuais
73694788000157,SALINAS EMPREENDIMENTOS E CONSTRUCOES LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,PLANILHAS,auditoria_orcamento_bdi
30610555000116,sinai contruções e serviços ltda,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,BACKOFFICE,reforco_temporario_backoffice
41753309000130,NICOLAS S DIAS CORREA LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,MEDICOES,medicoes_glosas_memoria
10245713000179,TCA - SOLUCOES E PLANEJAMENTO AMBIENTAL LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,MONITORAMENTO_CONTRATUAL,gestao_monitoramento_contratual
33829938000178,MEHLEN CONSTRUCOES LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,BACKOFFICE,reforco_temporario_backoffice
92943398000118,CONSTRUTORA CIDADE LIMITADA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,PLANILHAS,auditoria_orcamento_bdi
