supplier_canonical_key,relation_kind,classification,score,contract_id,claim_level
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011727/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011728/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011729/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011731/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011732/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011733/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011734/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011735/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011736/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011738/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011739/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011740/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011742/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011743/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011744/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011745/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011746/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011747/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011748/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011751/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011754/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011757/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011758/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011759/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011760/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-011840/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-012033/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-012034/2025,fact
sup:cnpj14:13477770000171,historical_winner,exact,1.00000,00360305000104-2-012035/2025,fact
sup:cnpj14:18499057000142,historical_winner,exact,1.00000,00360305000104-2-000139/2026,fact
sup:cnpj14:21306287000152,historical_winner,exact,1.00000,00360305000104-2-000138/2026,fact
sup:cnpj14:26905570000114,historical_winner,exact,1.00000,00360305000104-2-011726/2025,fact
sup:cnpj14:26905570000114,historical_winner,exact,1.00000,00360305000104-2-011730/2025,fact
sup:cnpj14:26905570000114,historical_winner,exact,1.00000,00360305000104-2-011750/2025,fact
sup:cnpj14:26905570000114,historical_winner,exact,1.00000,00360305000104-2-011753/2025,fact
sup:cnpj14:26905570000114,historical_winner,exact,1.00000,00360305000104-2-011755/2025,fact
sup:cnpj14:26905570000114,historical_winner,exact,1.00000,00360305000104-2-011756/2025,fact
sup:cnpj14:26905570000114,historical_winner,exact,1.00000,00360305000104-2-012030/2025,fact
sup:cnpj14:26905570000114,historical_winner,exact,1.00000,00360305000104-2-012031/2025,fact
sup:cnpj14:30079922000105,historical_winner,exact,1.00000,00360305000104-2-009119/2023,fact
sup:cnpj14:30838240000120,historical_winner,exact,1.00000,00360305000104-2-009118/2023,fact
sup:cnpj14:33621054000123,historical_winner,exact,1.00000,00360305000104-2-009120/2023,fact
sup:cnpj14:41622358000133,historical_winner,exact,1.00000,00360305000104-2-011741/2025,fact
sup:cnpj14:80925134000152,historical_winner,exact,1.00000,00360305000104-2-011725/2025,fact
sup:cnpj14:80925134000152,historical_winner,exact,1.00000,00360305000104-2-011737/2025,fact
sup:cnpj14:80925134000152,historical_winner,exact,1.00000,00360305000104-2-011749/2025,fact
sup:cnpj14:80925134000152,historical_winner,exact,1.00000,00360305000104-2-011767/2025,fact
sup:cnpj14:80925134000152,historical_winner,exact,1.00000,00360305000104-2-011768/2025,fact
sup:cnpj14:80925134000152,historical_winner,exact,1.00000,00360305000104-2-012029/2025,fact
sup:cnpj14:80925134000152,historical_winner,exact,1.00000,00360305000104-2-012032/2025,fact
