supplier_canonical_key,relation_kind,classification,score,contract_id,claim_level
sup:cnpj14:75838979000170,historical_winner,exact,1.00000,11360515000119-2-000024/2026,fact
sup:cnpj14:27074498000193,historical_winner,exact,1.00000,11360515000119-2-000023/2026,fact
sup:cnpj14:02340576000123,historical_winner,exact,1.00000,11360515000119-2-000022/2026,fact
sup:cnpj14:63780751000198,historical_winner,exact,1.00000,11360515000119-2-000021/2026,fact
sup:cnpj14:48881146000110,historical_winner,exact,1.00000,11360515000119-2-000020/2026,fact
sup:cnpj14:43472628000100,historical_winner,exact,1.00000,11360515000119-2-000018/2026,fact
sup:cnpj14:18109156000170,historical_winner,exact,1.00000,11360515000119-2-000019/2026,fact
sup:cnpj14:60102145000125,historical_winner,exact,1.00000,11360515000119-2-000017/2026,fact
sup:cnpj14:47405397000165,historical_winner,exact,1.00000,11360515000119-2-000016/2026,fact
sup:cnpj14:59839750000102,historical_winner,exact,1.00000,11360515000119-2-000015/2026,fact
sup:cnpj14:29856839000108,historical_winner,exact,1.00000,11360515000119-2-000014/2026,fact
sup:cnpj14:17600557000166,historical_winner,exact,1.00000,11360515000119-2-000013/2026,fact
sup:cnpj14:43240821000108,historical_winner,exact,1.00000,11360515000119-2-000012/2026,fact
sup:cnpj14:11571193000238,historical_winner,exact,1.00000,11360515000119-2-000010/2026,fact
sup:cnpj14:00245916000101,historical_winner,exact,1.00000,11360515000119-2-000011/2026,fact
sup:cnpj14:29680173000180,historical_winner,exact,1.00000,11360515000119-2-000009/2026,fact
sup:cnpj14:82817172000117,historical_winner,exact,1.00000,11360515000119-2-000008/2026,fact
sup:cnpj14:14567714000190,historical_winner,exact,1.00000,11360515000119-2-000006/2026,fact
sup:cnpj14:06159070000173,historical_winner,exact,1.00000,11360515000119-2-000007/2026,fact
sup:cnpj14:47405397000165,historical_winner,exact,1.00000,11360515000119-2-000005/2026,fact
sup:cnpj14:22366517000131,historical_winner,exact,1.00000,11360515000119-2-000004/2026,fact
sup:cnpj14:04310564000181,historical_winner,exact,1.00000,11360515000119-2-000003/2026,fact
sup:cnpj14:08336783000190,historical_winner,exact,1.00000,11360515000119-2-000001/2026,fact
sup:cnpj14:82508433000117,historical_winner,exact,1.00000,11360515000119-2-000002/2026,fact
sup:cnpj14:43240821000108,historical_winner,exact,1.00000,11360515000119-2-000068/2025,fact
sup:cnpj14:13495975000180,historical_winner,exact,1.00000,11360515000119-2-000067/2025,fact
sup:cnpj14:13772057000150,historical_winner,exact,1.00000,11360515000119-2-000066/2025,fact
sup:cnpj14:09464085000133,historical_winner,exact,1.00000,11360515000119-2-000065/2025,fact
sup:cnpj14:35494537000130,historical_winner,exact,1.00000,11360515000119-2-000063/2025,fact
sup:cnpj14:79007241000112,historical_winner,exact,1.00000,11360515000119-2-000062/2025,fact
sup:cnpj14:79007241000112,historical_winner,exact,1.00000,11360515000119-2-000061/2025,fact
sup:cnpj14:21264454000140,historical_winner,exact,1.00000,11360515000119-2-000060/2025,fact
sup:cnpj14:16929628000106,historical_winner,exact,1.00000,11360515000119-2-000059/2025,fact
sup:cnpj14:10703203000106,historical_winner,exact,1.00000,11360515000119-2-000058/2025,fact
sup:cnpj14:47405397000165,historical_winner,exact,1.00000,11360515000119-2-000057/2025,fact
sup:cnpj14:41095146000145,historical_winner,exact,1.00000,11360515000119-2-000056/2025,fact
sup:cnpj14:42823897000101,historical_winner,exact,1.00000,11360515000119-2-000054/2025,fact
sup:cnpj14:10703203000106,historical_winner,exact,1.00000,11360515000119-2-000055/2025,fact
sup:cnpj14:55236599000159,historical_winner,exact,1.00000,11360515000119-2-000053/2025,fact
sup:cnpj14:27074498000193,historical_winner,exact,1.00000,11360515000119-2-000052/2025,fact
sup:cnpj14:60102145000125,historical_winner,exact,1.00000,11360515000119-2-000051/2025,fact
sup:cnpj14:85197077000156,historical_winner,exact,1.00000,11360515000119-2-000050/2025,fact
sup:cnpj14:84587245001200,historical_winner,exact,1.00000,11360515000119-2-000049/2025,fact
sup:cnpj14:79874319000368,historical_winner,exact,1.00000,11360515000119-2-000047/2025,fact
sup:cnpj14:38442144000170,historical_winner,exact,1.00000,11360515000119-2-000048/2025,fact
sup:cnpj14:55836693000149,historical_winner,exact,1.00000,11360515000119-2-000046/2025,fact
sup:cnpj14:17070572000140,historical_winner,exact,1.00000,11360515000119-2-000044/2025,fact
sup:cnpj14:49941418000192,historical_winner,exact,1.00000,11360515000119-2-000045/2025,fact
sup:cnpj14:85197077000156,historical_winner,exact,1.00000,11360515000119-2-000043/2025,fact
sup:cnpj14:24327852000156,historical_winner,exact,1.00000,11360515000119-2-000042/2025,fact
