supplier_canonical_key,relation_kind,classification,score,contract_id,claim_level
sup:cnpj14:01212863000195,historical_winner,exact,1.00000,10432684000154-2-000043/2026,fact
sup:cnpj14:01258027000141,historical_winner,exact,1.00000,10432684000154-2-000066/2026,fact
sup:cnpj14:01880521000143,historical_winner,exact,1.00000,10432684000154-2-000037/2026,fact
sup:cnpj14:01994951002997,historical_winner,exact,1.00000,10432684000154-2-000058/2026,fact
sup:cnpj14:02436641000119,historical_winner,exact,1.00000,10432684000154-2-000038/2026,fact
sup:cnpj14:05655697000152,historical_winner,exact,1.00000,10432684000154-2-000033/2026,fact
sup:cnpj14:07807348000134,historical_winner,exact,1.00000,10432684000154-2-000074/2026,fact
sup:cnpj14:08336783000190,historical_winner,exact,1.00000,10432684000154-2-000067/2026,fact
sup:cnpj14:08914663000123,historical_winner,exact,1.00000,10432684000154-2-000053/2026,fact
sup:cnpj14:13266980000110,historical_winner,exact,1.00000,10432684000154-2-000078/2026,fact
sup:cnpj14:13365548000187,historical_winner,exact,1.00000,10432684000154-2-000044/2026,fact
sup:cnpj14:13919051000163,historical_winner,exact,1.00000,10432684000154-2-000036/2026,fact
sup:cnpj14:14292313000175,historical_winner,exact,1.00000,10432684000154-2-000047/2026,fact
sup:cnpj14:16444136000201,historical_winner,exact,1.00000,10432684000154-2-000059/2026,fact
sup:cnpj14:18486182000118,historical_winner,exact,1.00000,10432684000154-2-000060/2026,fact
sup:cnpj14:20350231000132,historical_winner,exact,1.00000,10432684000154-2-000040/2026,fact
sup:cnpj14:22048632000168,historical_winner,exact,1.00000,10432684000154-2-000073/2026,fact
sup:cnpj14:26264100000119,historical_winner,exact,1.00000,10432684000154-2-000075/2026,fact
sup:cnpj14:27284516000161,historical_winner,exact,1.00000,10432684000154-2-000051/2026,fact
sup:cnpj14:27517454000190,historical_winner,exact,1.00000,10432684000154-2-000048/2026,fact
sup:cnpj14:28028063000175,historical_winner,exact,1.00000,10432684000154-2-000057/2026,fact
sup:cnpj14:28419352000103,historical_winner,exact,1.00000,10432684000154-2-000046/2026,fact
sup:cnpj14:31121372000108,historical_winner,exact,1.00000,10432684000154-2-000063/2026,fact
sup:cnpj14:31383275000185,historical_winner,exact,1.00000,10432684000154-2-000077/2026,fact
sup:cnpj14:34339263000141,historical_winner,exact,1.00000,10432684000154-2-000034/2026,fact
sup:cnpj14:34678112000118,historical_winner,exact,1.00000,10432684000154-2-000055/2026,fact
sup:cnpj14:35741144000183,historical_winner,exact,1.00000,10432684000154-2-000032/2026,fact
sup:cnpj14:37413837000172,historical_winner,exact,1.00000,10432684000154-2-000039/2026,fact
sup:cnpj14:37638993000131,historical_winner,exact,1.00000,10432684000154-2-000080/2026,fact
sup:cnpj14:41018893000180,historical_winner,exact,1.00000,10432684000154-2-000056/2026,fact
sup:cnpj14:41018893000180,historical_winner,exact,1.00000,10432684000154-2-000071/2026,fact
sup:cnpj14:41018893000180,historical_winner,exact,1.00000,10432684000154-2-000076/2026,fact
sup:cnpj14:41726130000193,historical_winner,exact,1.00000,10432684000154-2-000042/2026,fact
sup:cnpj14:41850630000132,historical_winner,exact,1.00000,10432684000154-2-000070/2026,fact
sup:cnpj14:42178454000105,historical_winner,exact,1.00000,10432684000154-2-000049/2026,fact
sup:cnpj14:42178454000105,historical_winner,exact,1.00000,10432684000154-2-000050/2026,fact
sup:cnpj14:49605859000113,historical_winner,exact,1.00000,10432684000154-2-000061/2026,fact
sup:cnpj14:51017180000155,historical_winner,exact,1.00000,10432684000154-2-000052/2026,fact
sup:cnpj14:51577256000105,historical_winner,exact,1.00000,10432684000154-2-000081/2026,fact
sup:cnpj14:53198993000114,historical_winner,exact,1.00000,10432684000154-2-000072/2026,fact
sup:cnpj14:53795421000112,historical_winner,exact,1.00000,10432684000154-2-000041/2026,fact
sup:cnpj14:57269497000165,historical_winner,exact,1.00000,10432684000154-2-000079/2026,fact
sup:cnpj14:61627459000104,historical_winner,exact,1.00000,10432684000154-2-000035/2026,fact
sup:cnpj14:78491172000364,historical_winner,exact,1.00000,10432684000154-2-000045/2026,fact
sup:cnpj14:81301350000190,historical_winner,exact,1.00000,10432684000154-2-000062/2026,fact
sup:cnpj14:81301350000190,historical_winner,exact,1.00000,10432684000154-2-000065/2026,fact
sup:cnpj14:83703306000131,historical_winner,exact,1.00000,10432684000154-2-000068/2026,fact
sup:cnpj14:83703306000131,historical_winner,exact,1.00000,10432684000154-2-000069/2026,fact
sup:cnpj14:90180605000102,historical_winner,exact,1.00000,10432684000154-2-000064/2026,fact
sup:cnpj14:95860193000167,historical_winner,exact,1.00000,10432684000154-2-000054/2026,fact
