supplier_canonical_key,relation_kind,classification,score,contract_id,claim_level
sup:cnpj14:00739189000139,historical_winner,exact,1.00000,07654807000197-2-000044/2026,fact
sup:cnpj14:01515044000117,historical_winner,exact,1.00000,07654807000197-2-000049/2026,fact
sup:cnpj14:01678033000158,historical_winner,exact,1.00000,07654807000197-2-000039/2026,fact
sup:cnpj14:01963276000138,historical_winner,exact,1.00000,07654807000197-2-000056/2026,fact
sup:cnpj14:03725261000167,historical_winner,exact,1.00000,07654807000197-2-000064/2026,fact
sup:cnpj14:04152554000165,historical_winner,exact,1.00000,07654807000197-2-000047/2026,fact
sup:cnpj14:05047599000132,historical_winner,exact,1.00000,07654807000197-2-000017/2026,fact
sup:cnpj14:05527987000110,historical_winner,exact,1.00000,07654807000197-2-000059/2026,fact
sup:cnpj14:06261557000162,historical_winner,exact,1.00000,07654807000197-2-000027/2026,fact
sup:cnpj14:07598562000209,historical_winner,exact,1.00000,07654807000197-2-000020/2026,fact
sup:cnpj14:08983067000103,historical_winner,exact,1.00000,07654807000197-2-000040/2026,fact
sup:cnpj14:09035294000161,historical_winner,exact,1.00000,07654807000197-2-000045/2026,fact
sup:cnpj14:09674414000170,historical_winner,exact,1.00000,07654807000197-2-000025/2026,fact
sup:cnpj14:13510173000100,historical_winner,exact,1.00000,07654807000197-2-000022/2026,fact
sup:cnpj14:15639577000115,historical_winner,exact,1.00000,07654807000197-2-000048/2026,fact
sup:cnpj14:17164172000101,historical_winner,exact,1.00000,07654807000197-2-000029/2026,fact
sup:cnpj14:17513203000184,historical_winner,exact,1.00000,07654807000197-2-000060/2026,fact
sup:cnpj14:18476349000160,historical_winner,exact,1.00000,07654807000197-2-000063/2026,fact
sup:cnpj14:22730460000108,historical_winner,exact,1.00000,07654807000197-2-000050/2026,fact
sup:cnpj14:23187203000134,historical_winner,exact,1.00000,07654807000197-2-000062/2026,fact
sup:cnpj14:23830923000257,historical_winner,exact,1.00000,07654807000197-2-000058/2026,fact
sup:cnpj14:24501218000198,historical_winner,exact,1.00000,07654807000197-2-000061/2026,fact
sup:cnpj14:27263257000192,historical_winner,exact,1.00000,07654807000197-2-000038/2026,fact
sup:cnpj14:27314085000210,historical_winner,exact,1.00000,07654807000197-2-000031/2026,fact
sup:cnpj14:30445859000175,historical_winner,exact,1.00000,07654807000197-2-000053/2026,fact
sup:cnpj14:31428434000110,historical_winner,exact,1.00000,07654807000197-2-000043/2026,fact
sup:cnpj14:33326261000155,historical_winner,exact,1.00000,07654807000197-2-000035/2026,fact
sup:cnpj14:33326261000236,historical_winner,exact,1.00000,07654807000197-2-000036/2026,fact
sup:cnpj14:34210729000104,historical_winner,exact,1.00000,07654807000197-2-000055/2026,fact
sup:cnpj14:34791698000122,historical_winner,exact,1.00000,07654807000197-2-000054/2026,fact
sup:cnpj14:35301364000196,historical_winner,exact,1.00000,07654807000197-2-000023/2026,fact
sup:cnpj14:35532525000233,historical_winner,exact,1.00000,07654807000197-2-000066/2026,fact
sup:cnpj14:41335843000126,historical_winner,exact,1.00000,07654807000197-2-000030/2026,fact
sup:cnpj14:42587715000132,historical_winner,exact,1.00000,07654807000197-2-000041/2026,fact
sup:cnpj14:45671581000121,historical_winner,exact,1.00000,07654807000197-2-000057/2026,fact
sup:cnpj14:46586215000137,historical_winner,exact,1.00000,07654807000197-2-000051/2026,fact
sup:cnpj14:47544725000104,historical_winner,exact,1.00000,07654807000197-2-000019/2026,fact
sup:cnpj14:50958011000157,historical_winner,exact,1.00000,07654807000197-2-000018/2026,fact
sup:cnpj14:52490388000150,historical_winner,exact,1.00000,07654807000197-2-000024/2026,fact
sup:cnpj14:53095471000197,historical_winner,exact,1.00000,07654807000197-2-000037/2026,fact
sup:cnpj14:61436196000156,historical_winner,exact,1.00000,07654807000197-2-000042/2026,fact
sup:cnpj14:62240655000194,historical_winner,exact,1.00000,07654807000197-2-000065/2026,fact
sup:cnpj14:62609220000174,historical_winner,exact,1.00000,07654807000197-2-000021/2026,fact
sup:cnpj14:64952417000137,historical_winner,exact,1.00000,07654807000197-2-000032/2026,fact
sup:cnpj14:65101410000174,historical_winner,exact,1.00000,07654807000197-2-000026/2026,fact
sup:cnpj14:73471989003534,historical_winner,exact,1.00000,07654807000197-2-000034/2026,fact
sup:cnpj14:76590884001034,historical_winner,exact,1.00000,07654807000197-2-000028/2026,fact
sup:cnpj14:78478559000119,historical_winner,exact,1.00000,07654807000197-2-000046/2026,fact
sup:cnpj14:83506030000282,historical_winner,exact,1.00000,07654807000197-2-000052/2026,fact
sup:cnpj14:85448264000165,historical_winner,exact,1.00000,07654807000197-2-000033/2026,fact
