source,level,sla_hours,age_hours,last_run_id,last_status,scope_complete,records_fetched,indicator,row_count,note
pncp_opportunities,unreliable,24,1.13,1,failed,False,4,freshness_source,,
pncp_contracts,fresh,168,4.04,,,,,freshness_source,4438345,freshness by max(ingested_at); not a full re-collect this cycle
