id,razao_social,cnpj_8,municipio,codigo_ibge,distancia_fk,raio_200km,has_opportunity_data
703,COMISSAO ORGANIZADORA DO V ENCONTRO NACIONAL DAS CEJAS E CEJAIS (V ENCCEJAS),02982054,SANTA CATARINA,,0.10435089202821368,True,False
853,COMPANHIA DE HABITACAO DE JARAGUA DO SUL,82134917,SANTA CATARINA,,0.10435089202821368,True,False
898,INSTITUTO NACIONAL DE COLONIZACAO E REFORMA AGRARIA,00375972,SANTA CATARINA,,0.10435089202821368,True,False
1029,COMPANHIA BRASILEIRA DE DRAGAGEM,33653841,SANTA CATARINA,,0.10435089202821368,True,False
804,AGENCIA REGULADORA DE SERVICOS DE SANEAMENTO BASICO DO ESTADO DE SANTA CATARINA - AGESAN,11735720,SANTA CATARINA,,0.10435089202821368,True,False
992,TRANSMISSORA SUL LITORANEA DE ENERGIA S.A. - TSLE,16383969,SANTA CATARINA,,0.10435089202821368,True,False
1033,FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE,33787094,SANTA CATARINA,,0.10435089202821368,True,False
1090,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,92816560,SANTA CATARINA,,0.10435089202821368,True,False
953,AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS,04903587,SANTA CATARINA,,0.10435089202821368,True,False
811,FUNDO ESTADUAL DE DESENVOLVIMENTO RURAL - FDR,13561339,SANTA CATARINA,,0.10435089202821368,True,False
722,"VARA DA FAZENDA PUBLICA, EXECUCOES FISCAIS, ACIDENTES DO TRABALHO E REGISTROS PUBLICOS",04672947,SANTA CATARINA,,0.10435089202821368,True,False
664,CONSELHO DE DESENVOLVIMENTO E INTEGRACAO SUL CODESUL,83901439,SANTA CATARINA,,0.10435089202821368,True,False
712,CARTORIO JUDICIAL DA COMARCA DE PORTO BELO,03719187,SANTA CATARINA,,0.10435089202821368,True,False
713,JOINVILLE ESCRIVANIA DA VARA DA INFANCIA E JUVENTUDE,03785209,SANTA CATARINA,,0.10435089202821368,True,False
696,FUNDACAO DE AMPARO A PESQUISA E INOVACAO DO ESTADO DE SANTA CATARINA,01682869,SANTA CATARINA,,0.10435089202821368,True,False
1005,ADVOCACIA GERAL DA UNIAO,26994558,SANTA CATARINA,,0.10435089202821368,True,False
1034,EMPRESA DE ENG E CONSTR DE OBRAS ESPECIAIS S A ECEX,33884008,SANTA CATARINA,,0.10435089202821368,True,False
882,COMPANHIA URBANIZADORA DE ICARA - URBI,05848142,SANTA CATARINA,,0.10435089202821368,True,False
881,SANTA CATARINA PARTICIPACAO E INVESTIMENTOS SA INVESC,00897864,SANTA CATARINA,,0.10435089202821368,True,False
973,COMANDO 14A BRIGADA DE INFANTARIA MOTORIZADA,09571694,SANTA CATARINA,,0.10435089202821368,True,False
573,FUNDO ESTADUAL DE SEGURANCA ALIMENTAR E NUTRICIONAL,51545652,SANTA CATARINA,,0.10435089202821368,True,False
680,FUNDO ESTADUAL DE ASSISTENCIA SOCIAL,01056698,SANTA CATARINA,,0.10435089202821368,True,False
641,JOINVILLE ESCRIVANIA DA 2 VARA CIVEL,83615963,SANTA CATARINA,,0.10435089202821368,True,False
1021,REDE FERROVIARIA FEDERAL S A,33613332,SANTA CATARINA,,0.10435089202821368,True,False
892,IAZPE-IMBITUBA ADM DA ZONA DE PROCES DE EXPORTACAO SA,00124055,SANTA CATARINA,,0.10435089202821368,True,False
1030,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),33683111,SANTA CATARINA,,0.10435089202821368,True,False
870,COMPANHIA INTEGRADA DE DESENVOLVIMENTO AGRICOLA DE SC,83807586,SANTA CATARINA,,0.10435089202821368,True,False
949,ALFANDEGA DA RECEITA FEDERAL NO PORTO DE SAO FRANCISCO DO SUL -SC,04745037,SANTA CATARINA,,0.10435089202821368,True,False
734,CARTORIO JUDICIAL DA VARA UNICA DA COMARCA DE RIO DO OESTE,04928467,SANTA CATARINA,,0.10435089202821368,True,False
655,BLUMENAU ESCRIVANIA DA 4 VARA CIVEL E MENORES,83778910,SANTA CATARINA,,0.10435089202821368,True,False
989,TRANSMISSORA SUL BRASILEIRA DE ENERGIA S.A.,14820905,SANTA CATARINA,,0.10435089202821368,True,False
777,"SECRETARIA DE ESTADO DE INDUSTRIA, COMERCIO E SERVICOS",07255568,SANTA CATARINA,,0.10435089202821368,True,False
1031,FINANCIADORA DE ESTUDOS E PROJETOS - FINEP,33749086,SANTA CATARINA,,0.10435089202821368,True,False
1035,SERVICO SOCIAL DAS ESTRADAS DE FERRO - SESEF,33909540,SANTA CATARINA,,0.10435089202821368,True,False
780,INSTITUTO DE METROLOGIA DE SANTA CATARINA,07410720,SANTA CATARINA,,0.10435089202821368,True,False
570,"SECRETARIA DE ESTADO DE PORTOS, AEROPORTOS E FERROVIAS",50111680,SANTA CATARINA,,0.10435089202821368,True,False
