consultado,data_quality_limitation,data_quality_score,fontes,frequencia_temporal,modalidades,orgao,orgao_cnpj,periodo_fim,periodo_inicio,qtd_contratacoes,rank,resultado_zero,ticket_medio,ticket_medio_formula,uf,valor_semantica,valor_total
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3618 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE PIRATUBA,82815481000158,2026-07-23,2023-07-20,3618,81,False,3608.07,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,13053984.81
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3587 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE ITUPORANGA,11407443000118,2026-07-23,2023-07-20,3587,82,False,2350.27,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,8430435.86
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3545 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE TREZE TÍLIAS,03347885000198,2026-07-23,2023-07-20,3545,83,False,1353.52,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,4798230.35
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3521 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE ABELARDO LUZ,10532003000120,2026-07-23,2023-07-20,3521,84,False,2440.87,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,8594300.55
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3520 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE SÃO DOMINGOS,11888327000168,2026-07-23,2023-07-20,3520,85,False,1782.28,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,6273627.79
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3518 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE CAMPOS NOVOS,82939232000174,2026-07-23,2023-07-20,3518,86,False,37893.42,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,133309052.14
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3507 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE TREZE DE MAIO,82928672000126,2026-07-23,2023-07-20,3507,87,False,2416.16,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,8473460.95
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3506 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE LUIZ ALVES,83102319000155,2026-07-23,2023-07-20,3506,88,False,3736.68,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,13100796.48
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3491 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE SEARA,83024505000113,2026-07-23,2023-07-20,3491,89,False,3813.19,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,13311828.91
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3476 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE ABDON BATISTA,78511052000110,2026-07-23,2023-07-20,3476,90,False,3311.63,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,11511230.16
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3465 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE BALNEÁRIO PIÇARRAS,83102335000148,2026-07-23,2023-07-20,3465,91,False,5504.3,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,19072394.16
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3452 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE ZORTÉA,12139961000160,2026-07-23,2023-07-20,3452,92,False,1205.15,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,4160187.38
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3451 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE PRESIDENTE NEREU,83102699000128,2026-07-23,2023-07-20,3451,93,False,4130.44,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,14254144.25
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3440 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE URUSSANGA,82930181000110,2026-07-23,2023-07-20,3440,94,False,13732.02,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,47238136.51
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3437 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE ARAQUARI,83102228000110,2026-07-23,2023-07-20,3437,95,False,5077.02,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,17449731.5
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3429 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAUDE DE GASPAR,11436906000170,2026-07-23,2023-07-20,3429,96,False,19899.41,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,68235090.45
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3429 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE APIÚNA,79373767000116,2026-07-23,2023-07-20,3429,97,False,4371.92,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,14991316.51
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3405 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE SÃO JOSÉ DO CERRITO,82777327000139,2026-07-23,2023-07-20,3405,98,False,10476.9,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,35673839.74
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3402 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE TURVO,82548983000160,2026-07-23,2023-07-20,3402,99,False,12924.28,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,43968404.74
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3389 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE CONCÓRDIA,83024257000100,2026-07-23,2023-07-20,3389,100,False,14241.41,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,48264150.15
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3386 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE GAROPABA,82836057000190,2026-07-23,2023-07-20,3386,101,False,4140.57,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,14019972.37
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3384 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE IBIAM,01612745000174,2026-07-23,2023-07-20,3384,102,False,3162.63,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,10702347.49
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3344 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE AGROLÂNDIA,83102582000144,2026-07-23,2023-07-20,3344,103,False,3385.22,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,11320175.33
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3327 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE PRESIDENTE GETÚLIO,83102434000120,2026-07-23,2023-07-20,3327,104,False,3873.48,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,12887069.93
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3306 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE SÃO BENTO DO SUL,86051398000100,2026-07-23,2023-07-20,3306,105,False,5962.39,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,19711649.67
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3303 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE SÃO JOSÉ,11214458000160,2026-07-23,2023-07-20,3303,106,False,9837.41,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,32492953.2
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3261 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE GRAVATAL,82926569000147,2026-07-23,2023-07-20,3261,107,False,4304.95,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,14038439.09
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3255 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE RANCHO QUEIMADO,09522642000125,2026-07-23,2023-07-20,3255,108,False,970.65,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,3159480.76
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3248 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE CELSO RAMOS,14608771000170,2026-07-23,2023-07-20,3248,109,False,1129.86,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,3669782.83
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3244 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE IBICARÉ,82939448000130,2026-07-23,2023-07-20,3244,110,False,6126.74,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,19875148.47
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3194 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE VITOR MEIRELES,79372520000185,2026-07-23,2023-07-20,3194,111,False,3232.81,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,10325602.13
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3193 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE MAFRA,83102509000172,2026-07-23,2023-07-20,3193,112,False,6216.82,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,19850314.21
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3181 eventos no período (2023-07-20..2026-07-23),{},INSTITUTO FEDERAL DE EDUC.CIENC.E TEC.DE SC,11402887000160,2026-07-23,2023-07-20,3181,113,False,365948.81,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,1164083156.11
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3164 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE SANTA ROSA DE LIMA,82926593000186,2026-07-23,2023-07-20,3164,114,False,2599.84,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,8225882.35
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3164 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE IPUAÇU,11395801000110,2026-07-23,2023-07-20,3164,115,False,1854.77,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,5868498.58
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3163 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE OURO VERDE,11323964000197,2026-07-23,2023-07-20,3163,116,False,1260.84,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,3988031.02
