entity_id,razao_social,cnpj_8,municipio,raio_200km,gap_reason
2077,CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DE GESTAO PUBLICA DA AMESC,34363129,ARARANGUA,False,no_matched_active_bid
1949,FUNDACAO AMBIENTAL DO MUNICIPIO DE ARARANGUA - FAMA,13540482,ARARANGUA,False,no_matched_active_bid
1732,FUNDACAO MUNICIPAL DE ESPORTES,00896228,ARARANGUA,False,no_matched_active_bid
1530,SECRETARIA DE EDUCACAO E CULTURA,64338656,ARARANGUA,False,no_matched_active_bid
1590,SERVICO AUTONOMO MUNICIPAL DE AQUA E ESGOTO,82568221,ARARANGUA,False,no_matched_active_bid
1928,CAMARA MUNICIPAL DE VEREADORES DE ARMAZEM,10585021,ARMAZEM,False,no_matched_active_bid
1807,CLUBE DE MAES RAIO DE LUZ,03249973,ARMAZEM,False,no_matched_active_bid
1806,CLUBE DE MAES SANTA RITA DE CASSIA,03249964,ARMAZEM,False,no_matched_active_bid
1794,CONSORCIO INTERFEDERATIVO DE SAUDE DA AMUREL - CISAMUREL/SC,02715882,ARMAZEM,False,no_matched_active_bid
1615,MUNICIPIO DE ARMAZEM,82928664,ARMAZEM,False,no_matched_active_bid
2079,"SECRETARIA DE EDUCACAO, CULTURA E ESPORTE",34560775,ARMAZEM,False,no_matched_active_bid
1223,CAMARA DE VEREADORES DE ARROIO TRINTA,07527994,ARROIO TRINTA,False,no_matched_active_bid
1222,IPREARROIO - INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE ARROIO TRINTA,03548627,ARROIO TRINTA,False,no_matched_active_bid
1221,MUNICIPIO DE ARROIO TRINTA,82826462,ARROIO TRINTA,False,no_matched_active_bid
1224,SECRETARIA MUNICIPAL DE EDUCACAO,30997915,ARROIO TRINTA,False,no_matched_active_bid
1323,CAMARA MUNICIPAL DE VEREADORES DE ARVOREDO,23757656,ARVOREDO,False,no_matched_active_bid
1324,GERENCIA DE EDUCACAO DE ARVOREDO SC,30339305,ARVOREDO,False,no_matched_active_bid
1322,MUNICIPIO DE ARVOREDO,95995247,ARVOREDO,False,no_matched_active_bid
254,AGENCIA INTERMUNICIPAL DE REGULACAO DE SERVICOS PUBLICOS,11762843,ASCURRA,True,no_matched_active_bid
253,ASCURRA CAMARA DE VEREADORES,83497578,ASCURRA,True,no_matched_active_bid
252,MUNICIPIO DE ASCURRA,83102772,ASCURRA,True,no_matched_active_bid
255,"SECRETARIA MUNICIPAL DE EDUCACAO, DESPORTO, CULTURA E PROMOCAO SOCIAL DE ASCURRA",30975406,ASCURRA,True,no_matched_active_bid
336,ATALANTA CAMARA MUNICIPAL DE VEREADORES,01258910,ATALANTA,True,no_matched_active_bid
337,COORDENADORIA MUNICIPAL DE DEFESA CIVIL - COMDEC DO NUNICPIO DE ATALANTA,19265128,ATALANTA,True,no_matched_active_bid
334,MUNICIPIO DE ATALANTA,83102616,ATALANTA,True,no_matched_active_bid
333,MUSEU HISTORICO MUNICIPAL WOGECK KUBIACK DE ATALANTA,65613013,ATALANTA,True,no_matched_active_bid
338,"SECRETARIA DE EDUCACAO, CULTURA E ESPORTE DE ATALANTA SC",30713026,ATALANTA,True,no_matched_active_bid
264,COMISSAO MUNICIPAL DE DEFESA CIVIL - COMDEC DO MUNICIPIO DE AURORA,18956022,AURORA,True,no_matched_active_bid
263,FUNDACAO CULTURAL DE AURORA,07367359,AURORA,True,no_matched_active_bid
260,FUNDACAO MUNICIPAL DE DESPORTOS DE AURORA,73258600,AURORA,True,no_matched_active_bid
265,SECRETARIA MUNICIPAL DE EDUCACAO DE AURORA SC,30915822,AURORA,True,no_matched_active_bid
1760,CAMARA DE VEREADORES DE BALNEARIO ARROIO DO SILVA,01640637,BALNEARIO ARROIO DO SILVA,False,no_matched_active_bid
2065,"SECRETARIA DE EDUCACAO, CULTURA E ESPORTES DE BALNEARIO ARROIO DO SILVA",31048525,BALNEARIO ARROIO DO SILVA,False,no_matched_active_bid
1770,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,01840231,BALNEARIO ARROIO DO SILVA,False,no_matched_active_bid
1707,BALNEARIO BARRA DO SUL CAMARA DE VEREADORES,95954541,BALNEARIO BARRA DO SUL,False,no_matched_active_bid
1850,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE BALNEARIO BARRA DO SUL,05018753,BALNEARIO BARRA DO SUL,False,no_matched_active_bid
1706,MUNICIPIO DE BALNEARIO BARRA DO SUL,95954509,BALNEARIO BARRA DO SUL,False,no_matched_active_bid
2040,SECRETARIA DE EDUCACAO E CULTURA DO MUNICIPIO DE BALNEARIO BARRA DO SUL -FUNDEB,30749094,BALNEARIO BARRA DO SUL,False,no_matched_active_bid
2081,AUTARQUIA MUNICIPAL DE TRANSITO - BC TRANSITO,36043246,BALNEARIO CAMBORIU,False,no_matched_active_bid
1947,CONSELHO COMUNITARIO DE SEGURANCA BALNEARIO CAMBORIU - CENTRO,12935589,BALNEARIO CAMBORIU,False,no_matched_active_bid
1950,CONSELHO DA COMUNIDADE DA COMARCA DE BALNEARIO CAMBORIU,13624530,BALNEARIO CAMBORIU,False,no_matched_active_bid
1945,CONSORCIO INTERMUNICIPAL DE SEGURANCA COM CIDADANIA COSTA VERDE & MAR,12212903,BALNEARIO CAMBORIU,False,no_matched_active_bid
1904,EMPRESA MUNICIPAL DE AGUA E SANEAMENTO DE BALNEARIO CAMBORIU,07854402,BALNEARIO CAMBORIU,False,no_matched_active_bid
1528,GUARDA MUNICIPAL DE BALNEARIO CAMBORIU,63932187,BALNEARIO CAMBORIU,False,no_matched_active_bid
1888,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE BALNEARIO CAMBORIU,07252009,BALNEARIO CAMBORIU,False,no_matched_active_bid
1520,SECRETARIA MUNICIPAL DE EDUCACAO DE BALNEARIO CAMBORIU,63208819,BALNEARIO CAMBORIU,False,no_matched_active_bid
1871,SECRETARIA MUNICIPAL DE EDUCACAO DE BALNEARIO CAMBORIU,06077000,BALNEARIO CAMBORIU,False,no_matched_active_bid
1674,BALNEARIO PICARRAS CAMARA MUNICIPAL DE VEREADORES,83551523,BALNEARIO DE PICARRAS,False,no_matched_active_bid
1961,COMISSAO MUNICIPAL DE DEFESA CIVIL - COMDEC,15009630,BALNEARIO DE PICARRAS,False,no_matched_active_bid
1828,CONSELHO MUNICIPAL DE ASSISTENCIA SOCIAL - C.M.A.S.,04402810,BALNEARIO DE PICARRAS,False,no_matched_active_bid
1829,CONSELHO MUNICIPAL DE SAUDE - CMS,04402818,BALNEARIO DE PICARRAS,False,no_matched_active_bid
1830,CONSELHO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE DE PICARRAS - COMDICAPI,04402843,BALNEARIO DE PICARRAS,False,no_matched_active_bid
2073,CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DA REGIAO DA AMFRI - CIM-AMFRI,32980376,BALNEARIO DE PICARRAS,False,no_matched_active_bid
1990,FUNDACAO MUNICIPAL DE CULTURA DE BALNEARIO PICARRAS,19767892,BALNEARIO DE PICARRAS,False,no_matched_active_bid
1985,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE BALNEARIO PICARRAS - IPRESP,19445390,BALNEARIO DE PICARRAS,False,no_matched_active_bid
2014,INSTITUTO DO MEIO AMBIENTE DE BALNEARIO PICARRAS - IMP,29957183,BALNEARIO DE PICARRAS,False,no_matched_active_bid
1522,SECRETARIA MUNICIPAL DE EDUCACAO DE BALNEARIO PICARRAS,63423294,BALNEARIO DE PICARRAS,False,no_matched_active_bid
1873,SECRETARIA MUNICIPAL DE EDUCACAO DO MUNICIPIO DE PICARRAS/SC,06080954,BALNEARIO DE PICARRAS,False,no_matched_active_bid
1762,CAMARA DE VEREADORES,01647273,BALNEARIO GAIVOTA,False,no_matched_active_bid
1943,SAMAE - SERVICO AUT MUNICIPAL DE AGUA E ESGOTO DE BALNEARIO GAIVOTA,12010094,BALNEARIO GAIVOTA,False,no_matched_active_bid
1869,SECRETARIA DE EDUCACAO E CULTURA,06075177,BALNEARIO GAIVOTA,False,no_matched_active_bid
2078,SECRETARIA MUNICIPAL DE EDUCACAO DE BALNEARIO GAIVOTA,34365719,BALNEARIO GAIVOTA,False,no_matched_active_bid
1977,CAMARA MUNICIPAL DE BALNEARIO RINCAO,17365235,BALNEARIO RINCAO,False,no_matched_active_bid
