source_id,objeto,orgao_cnpj,orgao_nome,uf,municipio,data_encerramento,link_oficial,ranking,ranking_score,ranking_confianca,motivo,fatores_positivos
sc-58769,"Contratação de serviços de reabilitação  (Psicologia, Fonoaudiologia, Terapia Ocupacional, Psicomotricidade e Fisioterapia) para atendimento de demandas judiciais, para a Secretaria de Estado da Saúde",,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/58769,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59732,"Caneta plástica com ponteira touch screen, carga esferográfica azul e acionamento por clique. Largura: 1,4 cm. Comprimento: 14,1 cm. Peso aproximado (g): 7. Personalização em UV digital, sem limitação",,Fundação Escola de Governo - ENA,SC,,,https://compras.sc.gov.br/editais/59732,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58633,Serviço de impressão gráfica – impressão de adesivo de alta qualidade.,,Departamento Estadual de Trânsito - DETRAN/SC,SC,,,https://compras.sc.gov.br/editais/58633,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59389,"Aquisição de mobiliário em MDF branco e bancada de granito cinza andorinha, destinadas à composição da área de copa/cozinha e DML da 9ª Gerência Regional de Curitibanos, incluindo bancada com cuba e e",,Secretaria de Estado da Fazenda - SEF,SC,,,https://compras.sc.gov.br/editais/59389,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59176,"Contratação de profissional para ministrar oficia “Dança Afro”, de 14/04/26 a 30/06/26, no CEART/UDESC.  Programa    de  Extensão  Diálogos  Recíprocos:  Compromisso  com  as  Diversidades (PAEX). Púb",,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/59176,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58907,"Digitalização  de  aproximadamente  20.000 (vinte   mil)   folhas   em   tamanho   A4   de Processos   de   Prestação   de   Contas   em suporte de papel.
Descrição completa e especificação dos serviç",,Secretaria de Estado de Justiça e Reintegração Social - SEJURI,SC,,,https://compras.sc.gov.br/editais/58907,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59124,Registro de preços para futura e eventual aquisição de medicamentos e produtos à base de cannabis para a Secretaria de Estado da Saúde.,,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/59124,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58780,"Fornecimento e montagem de cadeiras giratórias e fixas, por meio do sistema de registro de preços, para o Tribunal de Contas do Estado de Santa Catarina.",,Tribunal de Contas do Estado de Santa Catarina - TCE,SC,,,https://compras.sc.gov.br/editais/58780,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58639,Aquisição de 25.000 unidades de ponteiras de 1.000-10.000 ul e 30 racks de ponteiras de 10.000 ul para atendimento do Programa de Balneabilidade.,,Instituto do Meio Ambiente - IMA,SC,,,https://compras.sc.gov.br/editais/58639,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59379,"Aquisição de materiais didático-pedagógicos destinadosàsunidades escolares da Rede Estadual de Ensino, voltados ao atendimento das turmas do 2º ano dos Anos Iniciais do Ensino Fundamental, estudantes ",,Secretaria de Estado da Educação - SED,SC,,,https://compras.sc.gov.br/editais/59379,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58371,Contratação de serviço de jardinagem para a Coordenadoria Regional de Blumenau.,,Instituto do Meio Ambiente - IMA,SC,,,https://compras.sc.gov.br/editais/58371,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59283,"Registro de preços para futura e eventual aquisição de materiais de enfermaria e cirurgia, de higiene pessoal e de conservação e limpeza , por meio de  dispensa de licitação, para atendimento da deman",,Secretaria de Estado da Saúde - SES,SC,,,https://compras.sc.gov.br/editais/59283,NO_GO,0,HIGH,Sem identificação do órgão,
