claim_id,kind,statement,source,collection_id,cycle_run_id,source_record_run_id,normalized_table,normalized_id,rule,product,indicator
run-collect-pncp_opportunities-20260720T123255Z-e771831fa9,collection_run,Coleta pncp_opportunities terminal=reused_fresh obtained=0 persisted=0,pncp_opportunities,col-extra-weekly-20260720T123255Z-11535c15,collect-pncp_opportunities-20260720T123255Z-e771831fa9,,pipeline_runs,collect-pncp_opportunities-20260720T123255Z-e771831fa9,scripts.collect.run_contract,manifest.json,
run-collect-pncp_contracts-20260720T123255Z-1ffa9ff606,collection_run,Coleta pncp_contracts terminal=failure obtained=0 persisted=0,pncp_contracts,col-extra-weekly-20260720T123255Z-11535c15,collect-pncp_contracts-20260720T123255Z-1ffa9ff606,,pipeline_runs,collect-pncp_contracts-20260720T123255Z-1ffa9ff606,scripts.collect.run_contract,manifest.json,
fresh-pncp_opportunities,freshness,Freshness pncp_opportunities=never age_hours=None sla=48,pncp_opportunities,col-extra-weekly-20260720T123255Z-11535c15,,,,,freshness_source,source_health.csv / executive_summary.md,freshness_source
fresh-pncp_contracts,freshness,Freshness pncp_contracts=never age_hours=None sla=168,pncp_contracts,col-extra-weekly-20260720T123255Z-11535c15,,,,,freshness_source,source_health.csv / executive_summary.md,freshness_source
